source,target,interaction,effect_size,pvalue,qvalue
NDPK5,Nucleotides,in_pathway,-2.4031229681385478,0.0001051685604914936,0.002346455427504537
GLCt2_2,"Transport, Extracellular",in_pathway,-2.4031229681385327,0.00010516856049149913,0.002346455427504537
DNDPt35m,"Transport, Mitochondrial",in_pathway,2.4031229681384016,0.00010516856049154827,0.002346455427504537
DNDPt27m,"Transport, Mitochondrial",in_pathway,2.4031229681383603,0.00010516856049156365,0.002346455427504537
HSD3B3r,Steroid Metabolism,in_pathway,2.403122968138342,0.00010516856049157034,0.002346455427504537
HSD17B9r,Steroid Metabolism,in_pathway,2.403122968138342,0.00010516856049157034,0.002346455427504537
2AMADPTm,Lysine Metabolism,in_pathway,-2.4031229681383035,0.00010516856049158498,0.002346455427504537
LYStm,"Transport, Mitochondrial",in_pathway,2.4031229681383035,0.00010516856049158498,0.002346455427504537
SACCD4m,Lysine Metabolism,in_pathway,2.4031229681383035,0.00010516856049158498,0.002346455427504537
SACCD3m,Lysine Metabolism,in_pathway,2.4031229681383035,0.00010516856049158498,0.002346455427504537
AASAD3m,Lysine Metabolism,in_pathway,2.4031229681383035,0.00010516856049158498,0.002346455427504537
GLACter,"Transport, Endoplasmic Reticular",in_pathway,2.4031229681382813,0.00010516856049159311,0.002346455427504537
GLRASE,Ascorbate and Aldarate Metabolism,in_pathway,2.4031229681382813,0.00010516856049159311,0.002346455427504537
UROLACer,Ascorbate and Aldarate Metabolism,in_pathway,-2.4031229681382813,0.00010516856049159311,0.002346455427504537
GULNDer,Pentose and Glucuronate Interconversions,in_pathway,2.4031229681382813,0.00010516856049159311,0.002346455427504537
URIt4,"Transport, Extracellular",in_pathway,2.4031229681382746,0.00010516856049159577,0.002346455427504537
URIt,"Transport, Extracellular",in_pathway,-2.4031229681382746,0.00010516856049159577,0.002346455427504537
CRNtHa,"Transport, Extracellular",in_pathway,2.4031229681379678,0.00010516856049171052,0.002346455427504537
CRNt_copy2,"Transport, Extracellular",in_pathway,2.4031229681379678,0.00010516856049171052,0.002346455427504537
FATP7t,"Transport, Extracellular",in_pathway,2.403122968137604,0.00010516856049184656,0.002346455427504537
CRVNCtr,"Transport, Extracellular",in_pathway,2.403122968137604,0.00010516856049184656,0.002346455427504537
GTHDH,Ascorbate and Aldarate Metabolism,in_pathway,-2.403122968137268,0.00010516856049197227,0.002346455427504537
LGTHL,Pyruvate Metabolism,in_pathway,-2.403122968137146,0.00010516856049201762,0.002346455427504537
GLYOX,Pyruvate Metabolism,in_pathway,-2.403122968137146,0.00010516856049201762,0.002346455427504537
ARTPLM1,R Group Synthesis,in_pathway,-2.3878668809291113,1.0178334318044306e-05,0.00048412386065162737
PUNP4,Purine Catabolism,in_pathway,2.3731676829187314,0.00011586270659405502,0.0025696693141038633
DGK2m,Nucleotides,in_pathway,-2.314161244274422,0.00014182149905190815,0.0030678748781351735
DGNSKm,Nucleotides,in_pathway,-2.314161244274422,0.00014182149905190815,0.0030678748781351735
DGSNtm,"Transport, Mitochondrial",in_pathway,-2.314161244274422,0.00014182149905190815,0.0030678748781351735
