id,label,subsystem,effect_size,qvalue,type
FTHFLmi,Formate tetrahydrofolate ligase  mitochondrial irreversible,Folate Metabolism,-2.4031229681396056,0.002346455427504537,reaction
THFtm,"5,6,7,8-Tetrahydrofolate transport, diffusion, mitochondrial","Transport, Mitochondrial",-2.4031229681396056,0.002346455427504537,reaction
10FTHFtm,10-Formyltetrahydrofolate mitochondrial transport via diffusion,"Transport, Mitochondrial",2.4031229681396056,0.002346455427504537,reaction
FORtm,Formate mitochondrial transport,"Transport, Mitochondrial",2.4031229681396056,0.002346455427504537,reaction
GALt4,Galactose transport via sodium symport,"Transport, Extracellular",-2.4031229681395927,0.002346455427504537,reaction
RADH4,Retinal dehydrogenase (NADPH),Vitamin A Metabolism,-2.4031229681395927,0.002346455427504537,reaction
PEPCK_re,Phosphoenolpyruvate carboxykinase (GTP),Glycolysis/Gluconeogenesis,-2.4031229681395883,0.002346455427504537,reaction
LPS2,Lipase,Triacylglycerol Synthesis,-2.403122968139588,0.002346455427504537,reaction
ARACHDt2,Fatty acid transport via diffusion,"Transport, Extracellular",2.4031229681395567,0.002346455427504537,reaction
FATP5t,Fatty acid electroneutral transport,"Transport, Extracellular",2.4031229681395567,0.002346455427504537,reaction
DINt,Deoxyinosine transport via diffusion,"Transport, Extracellular",-2.4031229681395243,0.002346455427504537,reaction
EX_hxan_e,Hypoxanthine exchange,Extracellular exchange,-2.4031229681395243,0.002346455427504537,reaction
HYXNt,Hypoxanthine transport,"Transport, Extracellular",2.4031229681395243,0.002346455427504537,reaction
PUNP6,Purine-nucleoside phosphorylase (Deoxyinosine),Purine Catabolism,-2.4031229681395243,0.002346455427504537,reaction
DADAe,"Deoxyadenosine deaminase, extracellular",Nucleotides,-2.4031229681395243,0.002346455427504537,reaction
GLYCK2,Glycerate kinase,Glyoxylate and Dicarboxylate Metabolism,2.4031229681395034,0.002346455427504537,reaction
HPYRRy,Hydroxypyruvate reductase (NADPH),Glyoxylate and Dicarboxylate Metabolism,2.4031229681395034,0.002346455427504537,reaction
HMGLm,Hydroxymethylglutaryl-CoA lyase,Cholesterol Metabolism,-2.403122968139396,0.002346455427504537,reaction
DNDPt34m,DGDP transport via dTDP antiport,"Transport, Mitochondrial",-2.4031229681393946,0.002346455427504537,reaction
TMDK1m,Thymidine kinase (ATP:thymidine),Nucleotides,2.403122968139371,0.002346455427504537,reaction
NTD5m,"5'-nucleotidase (dTMP), mitochondrial",Nucleotides,2.403122968139371,0.002346455427504537,reaction
GCHOLAte,Bile acid intracellular transport,"Transport, Extracellular",-2.4031229681392734,0.002346455427504537,reaction
GCHOLAt2,Glycocholate transport via sodium cotransport,"Transport, Extracellular",2.4031229681392734,0.002346455427504537,reaction
THRGLNNaEx,L-threonine/L-glutamine Na-dependent exchange (Thr-L in),"Transport, Extracellular",2.4031229681392343,0.002346455427504537,reaction
PCm,Pyruvate carboxylase,Pyruvate Metabolism,-2.403122968138922,0.002346455427504537,reaction
RDH1a,"Retinol dehydrogenase (all-trans,NADPH)",Vitamin A Metabolism,2.403122968138816,0.002346455427504537,reaction
ALDD2xm,Aldehyde dehydrogenase  acetylaldehyde  NAD   mitochondrial,Glycolysis/Gluconeogenesis,2.4031229681387534,0.002346455427504537,reaction
ACALDtm,Acetaldehyde mitochondrial diffusion,"Transport, Mitochondrial",-2.4031229681387534,0.002346455427504537,reaction
NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),Nucleotides,-2.4031229681385478,0.002346455427504537,reaction
GLCt2_2,D-glucose transport in via proton symport,"Transport, Extracellular",-2.4031229681385327,0.002346455427504537,reaction
DNDPt35m,DGDP transport via dADP antiport,"Transport, Mitochondrial",2.4031229681384016,0.002346455427504537,reaction
DNDPt27m,DCDP transport via dTDP antiport,"Transport, Mitochondrial",2.4031229681383603,0.002346455427504537,reaction
HSD3B3r,3 beta-hydroxysteroid dehydrogenase type 1,Steroid Metabolism,2.403122968138342,0.002346455427504537,reaction
HSD17B9r,17-beta-hydroxysteroid dehydrogenase (type 7),Steroid Metabolism,2.403122968138342,0.002346455427504537,reaction
2AMADPTm,L-2-aminoadipate shuttle (cytosol/mitochondria),Lysine Metabolism,-2.4031229681383035,0.002346455427504537,reaction
LYStm,Lysine mitochondrial transport via ornithine carrier,"Transport, Mitochondrial",2.4031229681383035,0.002346455427504537,reaction
SACCD4m,"Saccharopine dehydrogenase (NAD, L-glutamate forming), mitochondrial",Lysine Metabolism,2.4031229681383035,0.002346455427504537,reaction
SACCD3m,"Saccharopine dehydrogenase (NADP, L-lysine forming), mitochondrial",Lysine Metabolism,2.4031229681383035,0.002346455427504537,reaction
AASAD3m,"L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial",Lysine Metabolism,2.4031229681383035,0.002346455427504537,reaction
GLACter,"D-glucurono-6,3-lactone transport, endoplasmic reticulum","Transport, Endoplasmic Reticular",2.4031229681382813,0.002346455427504537,reaction
GLRASE,Glucuronolactone reductase,Ascorbate and Aldarate Metabolism,2.4031229681382813,0.002346455427504537,reaction
UROLACer,"Uronolactonase, endoplasmic reticulum",Ascorbate and Aldarate Metabolism,-2.4031229681382813,0.002346455427504537,reaction
GULNDer,"Gulonate dehydrogenase, endoplasmic reticulum",Pentose and Glucuronate Interconversions,2.4031229681382813,0.002346455427504537,reaction
URIt4,Uridine transport in via sodium symport,"Transport, Extracellular",2.4031229681382746,0.002346455427504537,reaction
URIt,Uridine facilated transport in cytosol,"Transport, Extracellular",-2.4031229681382746,0.002346455427504537,reaction
CRNtHa,L-carnitine outward transport (H+ antiport),"Transport, Extracellular",2.4031229681379678,0.002346455427504537,reaction
CRNt_copy2,L carnitine reversible transport,"Transport, Extracellular",2.4031229681379678,0.002346455427504537,reaction
FATP7t,Fatty acid electroneutral transport,"Transport, Extracellular",2.403122968137604,0.002346455427504537,reaction
CRVNCtr,Fatty acid transport via diffusion,"Transport, Extracellular",2.403122968137604,0.002346455427504537,reaction
GTHDH,Glutathione dehydrogenase (dehydroascorbate reductase),Ascorbate and Aldarate Metabolism,-2.403122968137268,0.002346455427504537,reaction
LGTHL,Lactoylglutathione lyase,Pyruvate Metabolism,-2.403122968137146,0.002346455427504537,reaction
GLYOX,Hydroxyacylglutathione hydrolase,Pyruvate Metabolism,-2.403122968137146,0.002346455427504537,reaction
ARTPLM1,R group to palmitate conversion,R Group Synthesis,-2.3878668809291113,0.00048412386065162737,reaction
PUNP4,Purine-nucleoside phosphorylase (Deoxyguanosine),Purine Catabolism,2.3731676829187314,0.0025696693141038633,reaction
DGK2m,Deoxyguanylate kinase (dGMP:dATP) (mitochondrial),Nucleotides,-2.314161244274422,0.0030678748781351735,reaction
DGNSKm,Deoxyguanosine kinase,Nucleotides,-2.314161244274422,0.0030678748781351735,reaction
DGSNtm,Deoyguanosine transport in mitochondria,"Transport, Mitochondrial",-2.314161244274422,0.0030678748781351735,reaction
PROt4_2_r,PROt4 LPAREN 2 RPAREN r,"Transport, Extracellular",2.2876777259290457,0.0007317366860064157,reaction
ARTFR31,R group artificial flux,R Group Synthesis,2.1897788657946813,0.0030678748781351735,reaction
EX_glc__D_e,D-Glucose exchange,Extracellular exchange,2.1327712017872775,0.0014788052461663524,reaction
OBDHc,"2-Oxobutanoate dehydrogenase, cytosolic","Glycine, Serine, and Threonine Metabolism",2.1149715350838694,0.005858661417643098,reaction
THRD_L,L-threonine deaminase,"Glycine, Serine, and Threonine Metabolism",2.1149715350838694,0.005858661417643098,reaction
2MCITt,2-methylcitrate transport via diffusion,"Transport, Extracellular",2.1149715350838694,0.005858661417643098,reaction
EX_2mcit_e,2-Methylcitrate exchange,Extracellular exchange,2.1149715350838694,0.005858661417643098,reaction
MCITS,2-methylcitrate synthase,Propanoate Metabolism,2.1149715350838694,0.005858661417643098,reaction
UREAt5,"Urea, water cotransport","Transport, Extracellular",-2.1109340768853366,0.00591861630739354,reaction
ASNTHRNaEx,L-threonine/L-asparagine Na-dependent exchange (Asn-L in),"Transport, Extracellular",2.0662240091584967,0.006950073786657888,reaction
HEX1,Hexokinase (D-glucose:ATP),Glycolysis/Gluconeogenesis,-2.058245713569412,0.00207031031133078,reaction
6DHFtl,"6-glutamyl-DHF transport, lysosomal","Transport, Lysosomal",-2.0459896235334822,0.005712938755461893,reaction
GGH_5DHFl,"Gamma-glutamyl hydrolase (5DHF), lysosomal",Folate Metabolism,-2.0459896235334822,0.005712938755461893,reaction
6DHFtm,"6-glutamyl-DHF transport,m mitochondrial","Transport, Mitochondrial",-2.0459896235334822,0.005712938755461893,reaction
FPGS4m,"Folylpolyglutamate synthetase (DHF), mitochondrial",Folate Metabolism,-2.0459896235334822,0.005712938755461893,reaction
