id,label,subsystem,effect_size,qvalue,type
3SALATAi,3-sulfino-alanine transaminase (irreversible),Cysteine Metabolism,0.8504668659650887,0.0016948970241821195,reaction
3SPYRSP,3-sulfinopyruvate hydrolase (spotaneous reaction),Cysteine Metabolism,0.8504668659650887,0.0016948970241821195,reaction
EX_urea_e,Urea exchange,Extracellular exchange,-0.842113531884871,0.0019267664761333484,reaction
NAHCO3_HCLt,Bicarbonate transport (HCl/NaHCO3 exchange),"Transport, Extracellular",-0.8193066542585677,0.002775831305644867,reaction
DNDPt23m,DTDP transport via dGTP antiport,"Transport, Mitochondrial",0.8137729036487833,0.019800800830068525,reaction
THRCYSNaEx,L-cysteine/L-threonine Na-dependent exchange (Thr-L in),"Transport, Extracellular",-0.8112783945817332,0.003135939854132602,reaction
ACACT1r_copy2,Acetyl-CoA C-acetyltransferase,Tryptophan metabolism,-0.7997973156173002,0.005129046683698413,reaction
GLUt2m,"Amino acid transporter (glu-L), mitochondrial","Transport, Mitochondrial",-0.7789869761533096,0.006133253761993402,reaction
CITtam,Citrate transport  mitochondrial,"Transport, Mitochondrial",0.7778530246790826,0.014516753490367414,reaction
DHFR,Dihydrofolate reductase,Folate Metabolism,0.7536965493598,0.007619985166821266,reaction
ATPtm,"ADP/ATP transporter, mitochondrial","Transport, Mitochondrial",-0.7377915112956207,0.010915742185240922,reaction
C3STDH1r,C-3 sterol dehydrogenase (4-methylzymosterol),Cholesterol Metabolism,-0.7325449036846934,0.012829113222855295,reaction
FUMSO4tm,"Fumarate:sulfate antiport, mitochondrial","Transport, Mitochondrial",-0.7133664112766127,0.013605073521957696,reaction
MALSO4tm,"Malate:sulfate antiport, mitochondrial","Transport, Mitochondrial",0.7133664112766127,0.013605073521957696,reaction
INSTt2,Inositol transport in via proton symport,"Transport, Extracellular",-0.6965768213512393,0.017274287136782862,reaction
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),Galactose metabolism,-0.691735962235494,0.02024369485352017,reaction
ALASERNaEx,L-alanine/L-serine Na-dependent exchange (Ala-L in),"Transport, Extracellular",-0.6837985131577233,0.019800800830068525,reaction
LEUt5m,Leucine mitochondrial transport,"Transport, Mitochondrial",-0.6747977675467927,0.021990073489560648,reaction
LEUTAm,Leucine transaminase  mitochondrial,"Valine, Leucine, and Isoleucine Metabolism",-0.6747977675467927,0.021990073489560648,reaction
4MOPt2im,4-methyl-2-oxopentanoate mitochondrial transport  via proton symport,"Transport, Mitochondrial",0.6720895896378701,0.022522351868796642,reaction
LEUTA,Leucine transaminase,"Valine, Leucine, and Isoleucine Metabolism",0.6720895896378701,0.022522351868796642,reaction
PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),Purine Catabolism,0.6624263396940704,0.03735481029564344,reaction
DADNt4,Deoxyadenosine transport via diffusion,"Transport, Extracellular",0.6621948691167597,0.025852766808231703,reaction
FACOAL160,Fatty acid  CoA ligase  hexadecanoate ,Fatty acid activation,-0.6544705101174476,0.028893212467589288,reaction
EX_drib_e,Deoxy D Ribose exchange,Extracellular exchange,0.6408808012390674,0.0350358646161637,reaction
DRIBt,Deoxyribose transport via diffusion,"Transport, Extracellular",-0.6408808012390674,0.0350358646161637,reaction
THMDt5,Thymidine transport (1:2 Na/Thymd cotransport),"Transport, Extracellular",0.6311506213413045,0.040026515319088615,reaction
P5CDm,1 pyrroline 5 carboxylate dehydrogenase  mitochondrial,Glutamate metabolism,0.6306869621546171,0.04739984853845057,reaction
INSTt4_2,Inositol transport via sodium symport,"Transport, Extracellular",0.6246187221857836,0.04355652963259769,reaction
DESAT18_7,Fatty acyl-CoA desaturase (n-C18:1CoA -> n-C18:2CoA),Fatty acid elongation,-0.6227539470931388,0.04448907527750576,reaction
Glycolysis/Gluconeogenesis,Glycolysis/Gluconeogenesis,Glycolysis/Gluconeogenesis,,,subsystem
"Transport, Mitochondrial","Transport, Mitochondrial","Transport, Mitochondrial",,,subsystem
"Transport, Extracellular","Transport, Extracellular","Transport, Extracellular",,,subsystem
Fatty acid elongation,Fatty acid elongation,Fatty acid elongation,,,subsystem
Glyoxylate and Dicarboxylate Metabolism,Glyoxylate and Dicarboxylate Metabolism,Glyoxylate and Dicarboxylate Metabolism,,,subsystem
Tyrosine metabolism,Tyrosine metabolism,Tyrosine metabolism,,,subsystem
Extracellular exchange,Extracellular exchange,Extracellular exchange,,,subsystem
Fructose and Mannose Metabolism,Fructose and Mannose Metabolism,Fructose and Mannose Metabolism,,,subsystem
Nucleotides,Nucleotides,Nucleotides,,,subsystem
"Transport, Peroxisomal","Transport, Peroxisomal","Transport, Peroxisomal",,,subsystem
ROS Detoxification,ROS Detoxification,ROS Detoxification,,,subsystem
R Group Synthesis,R Group Synthesis,R Group Synthesis,,,subsystem
Urea cycle/amino group metabolism,Urea cycle/amino group metabolism,Urea cycle/amino group metabolism,,,subsystem
Pyrimidine Biosynthesis,Pyrimidine Biosynthesis,Pyrimidine Biosynthesis,,,subsystem
Sphingolipid Metabolism,Sphingolipid Metabolism,Sphingolipid Metabolism,,,subsystem
Glycerophospholipid Metabolism,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism,,,subsystem
Inositol Phosphate Metabolism,Inositol Phosphate Metabolism,Inositol Phosphate Metabolism,,,subsystem
Biomass and maintenance functions,Biomass and maintenance functions,Biomass and maintenance functions,,,subsystem
Triacylglycerol Synthesis,Triacylglycerol Synthesis,Triacylglycerol Synthesis,,,subsystem
Pyrimidine Catabolism,Pyrimidine Catabolism,Pyrimidine Catabolism,,,subsystem
Cholesterol Metabolism,Cholesterol Metabolism,Cholesterol Metabolism,,,subsystem
"Transport, Endoplasmic Reticular","Transport, Endoplasmic Reticular","Transport, Endoplasmic Reticular",,,subsystem
Arginine and Proline Metabolism,Arginine and Proline Metabolism,Arginine and Proline Metabolism,,,subsystem
Fatty Acid Metabolism,Fatty Acid Metabolism,Fatty Acid Metabolism,,,subsystem
Carnitine shuttle,Carnitine shuttle,Carnitine shuttle,,,subsystem
Propanoate Metabolism,Propanoate Metabolism,Propanoate Metabolism,,,subsystem
Starch and Sucrose Metabolism,Starch and Sucrose Metabolism,Starch and Sucrose Metabolism,,,subsystem
Cysteine Metabolism,Cysteine Metabolism,Cysteine Metabolism,,,subsystem
Tryptophan metabolism,Tryptophan metabolism,Tryptophan metabolism,,,subsystem
Folate Metabolism,Folate Metabolism,Folate Metabolism,,,subsystem
Galactose metabolism,Galactose metabolism,Galactose metabolism,,,subsystem
"Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism",,,subsystem
Purine Catabolism,Purine Catabolism,Purine Catabolism,,,subsystem
Fatty acid activation,Fatty acid activation,Fatty acid activation,,,subsystem
Glutamate metabolism,Glutamate metabolism,Glutamate metabolism,,,subsystem
