reaction_id,reaction_name,flux_baseline,flux_microbiome,flux_delta,flux_delta_pct,microbiome_attributable
HSD17B4x,Hydroxysteroid (17-beta) dehydrogenase 4,0.0,0.0,0.0,,False
AKR1C1,"Aldo-keto reductase family 1, member C1 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",0.0,0.0,0.0,,False
HSD17B42x,Hydroxysteroid (17-beta) dehydrogenase 4,0.0,0.0,0.0,,False
HIStiDF,L-histidine transport via diffusion (extracellular to cytosol),1.0,1.0,0.0,0.0,False
HIStN1,"Histidine transport (Na, H coupled)",0.0,0.0,0.0,,False
HISt4,L-histidine transport in via sodium symport,0.0,0.0,0.0,,False
HISTAtu,Histamine uniport,0.0,0.0,0.0,,False
HSD3B13,3 beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,0.0,0.0,0.0,,False
HOMt4,L-homoserine via sodium symport,0.0,0.0,0.0,,False
HMGLx,Hydroxymethylglutaryl-CoA lyase,0.0,0.0,0.0,,False
HMGLm,Hydroxymethylglutaryl-CoA lyase,0.0,0.0,0.0,,False
HMGCOAtx,Hydroxymethylglutaryl-CoA reversible peroxisomal transport,0.09143589539225752,0.09143589539225752,0.0,0.0,False
HMGCOAtm,Hydroxymethylglutaryl CoA reversible mitochondrial transport,-0.09143589539225752,-0.09143589539225752,0.0,0.0,False
HMGCOASm,Hydroxymethylglutaryl CoA synthase  mitochondrial,-0.09143589539225752,-0.09143589539225752,0.0,0.0,False
HSD3B12r,3 beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,0.0,0.0,0.0,,False
HSD3B11r,3 beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,0.0,0.0,0.0,,False
AKR1D2,"Aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)",0.0,0.0,0.0,,False
HSD3B11,3 beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,0.0,0.0,0.0,,False
HSD3A2r,3 alpha-hydroxysteroid dehydrogenase (type 3),0.0,0.0,0.0,,False
HMGCOAS,Hydroxymethylglutaryl CoA synthase,0.0,0.0,0.0,,False
AKR1D,"Aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)",0.0,0.0,0.0,,False
HMGCOARx,Hydroxymethylglutaryl CoA reductase (ir),0.09143589539225752,0.09143589539225752,0.0,0.0,False
HSD3A1r,3 alpha-hydroxysteroid dehydrogenase (type 3),0.01078917503806485,0.01078917503806485,0.0,0.0,False
HPDCAt,Fatty acid transport via diffusion,0.0,0.0,0.0,,False
HPDCACRNt,Heptadecanoate transport into the mitochondria,0.0,0.0,0.0,,False
ALACYSNaEx,L-alanine/L-cysteine Na-dependent exchange (Ala-L in),0.0,0.0,0.0,,False
HPDCACRNCPT2,Heptadecanoate transport into the mitochondria,0.0,0.0,0.0,,False
HSPGt,"Heparan sulfate transport, golgi to extracellular",0.0,0.0,0.0,,False
HSPASEly,"Heparan sulfate proteoglycan protease, lysosome (endosome)",0.0,0.0,0.0,,False
HPDCACRNCPT1,Carnitine fatty-acyl transferase,0.0,0.0,0.0,,False
HPCLx,2-hydroxyphytanoyl-CoA lyase,0.0,0.0,0.0,,False
HPACtr,Hydroxyphenylacetate transport via diffusion,0.0,0.0,0.0,,False
HOXG,Heme oxygenase 1,0.0,0.0,0.0,,False
ALAASNNaEx,L-alanine/L-asparagine Na-dependent exchange (Ala-L in),0.0,0.0,0.0,,False
HSD3B7P,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",0.0,0.0,0.0,,False
HSD3B7,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",0.0,0.0,0.0,,False
HSD3B3r,3 beta-hydroxysteroid dehydrogenase type 1,0.0,0.0,0.0,,False
HSD3B2r,3 beta-hydroxysteroid dehydrogenase type 1,0.01078917503806485,0.01078917503806485,0.0,0.0,False
HSD3B13r,3 beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,0.0,0.0,0.0,,False
IMPC,IMP cyclohydrolase,0.0,0.0,0.0,,False
IMACTD_m,Imidazole acetaldeyde dehydrogenase (mito),0.0,0.0,0.0,,False
HYXNt,Hypoxanthine transport,0.0,0.0,0.0,,False
ALAGLNNaEx,L-alanine/L-glutamine Na-dependent exchange (Ala-L in),0.0,0.0,0.0,,False
HYPTROX,Hypotaurine oxidase,0.0,0.0,0.0,,False
ALADGLYexR,D-alanine/glycine reversible exchange,0.0,0.0,0.0,,False
HYPOE,Hypothetical enyme,0.0,0.0,0.0,,False
HPYRDCm,"Hydroxypyruvate decarboxylase, mitochondria",0.0,0.0,0.0,,False
HPYRDC,Hydroxypyruvate decarboxylase,0.0,0.0,0.0,,False
HPROxm,L hydroxyproline dehydrogenase  NAD   mitochondrial,0.0,0.0,0.0,,False
HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),0.0,0.0,0.0,,False
HXANtx,Hypoxanthine diffusion in peroxisome,0.0,0.0,0.0,,False
ALADGLNexR,L-alanine/glutamine reversible exchange,0.0,0.0,0.0,,False
HXANtl,Hypoxanthine facilated transport from lysosome,0.0,0.0,0.0,,False
HTAXOLte,Xenobiotic transport,0.0,0.0,0.0,,False
HSPGtly,"Heparan sulfate transport, extracellular to lysosome",0.0,0.0,0.0,,False
INSt4,Inosine transport in via sodium symport,0.0,0.0,0.0,,False
INSt,Inosine transport (diffusion),0.0,0.0,0.0,,False
ALAGLYexR,L-alanine/glycine reversible exchange,-0.1,-0.1,0.0,0.0,False
INSTt4_2,Inositol transport via sodium symport,0.0,0.0,0.0,,False
INSTt4,Inositol transport via sodium symport,0.0,0.0,0.0,,False
INSTt2,Inositol transport in via proton symport,0.0,0.0,0.0,,False
ICDHyr,Isocitrate dehydrogenase (NADP),0.0,0.0,0.0,,False
ICDHxm,Isocitrate dehydrogenase  NAD ,0.0,0.0,0.0,,False
ALAGLNexR,L-alanine/glutamine reversible exchange,-0.1,-0.1,0.0,0.0,False
Htx,"H transporter, peroxisome",0.04143589539225752,0.04143589539225752,0.0,0.0,False
Htr,"H transporter, endoplasmic reticulum",-0.030478631797419227,-0.030478631797419227,0.0,0.0,False
Htm,Uncoupling protein,0.0,0.0,0.0,,False
Htg,"Proton transport, Golgi",0.0,0.0,0.0,,False
INSKm,"Insosine kinase, mitochondrial",0.0,0.0,0.0,,False
INOSTO,Myo-Inositol:oxygen oxidoreductase,0.0,0.0,0.0,,False
IMPD,IMP dehydrogenase,0.0,0.0,0.0,,False
ITCOAL1m,"Itaconate--CoA ligase (GDP-forming), mitochondrial",0.0,0.0,0.0,,False
ALASERNaEx,L-alanine/L-serine Na-dependent exchange (Ala-L in),0.0,0.0,0.0,,False
IPDPtx,Isopentenyl diphosphate transport (peroxisome),0.0,0.0,0.0,,False
IDOAASE1ly,"Alpha-L-iduronidase, lysosomal",0.0,0.0,0.0,,False
IDHPOXOXb,Iodide:hydrogen-peroxide oxidoreductase,0.0,0.0,0.0,,False
IPDPtr,Isopentenyl diphosphate transport (ER),0.0,0.0,0.0,,False
IPDDIx,Isopentenyl-diphosphate D-isomerase,0.030478631797419175,0.030478631797419175,0.0,0.0,False
INStm,Inosine facilated transport in mitochondria,0.0,0.0,0.0,,False
IDHPOXOX4,Iodide:hydrogen-peroxide oxidoreductase 4,0.0,0.0,0.0,,False
ALAR,Alanine racemase,0.0,0.0,0.0,,False
IDHPOXOX3,Iodide:hydrogen-peroxide oxidoreductase 3,0.0,0.0,0.0,,False
INStl,Inosine facilated transport from lysosome,0.0,0.0,0.0,,False
IDHPOXOX2b,Iodide:hydrogen-peroxide oxidoreductase 2,0.0,0.0,0.0,,False
ICDHym,Isocitrate dehydrogenase  NADP ,-0.15195365438861613,-0.15195365438861613,0.0,0.0,False
ICDHyp,Isocitrate dehydrogenase  NADP ,0.0,0.0,0.0,,False
INSt5,Inosine transport in via sodium (1:2) symport,0.0,0.0,0.0,,False
KCC2t,K+-Cl- cotransporter (NH4+),0.0,0.0,0.0,,False
ILEtmi,Isoleucine transport from mitochondria to cytosol,0.0,0.0,0.0,,False
ILEt4,L-isoleucine transport in via sodium symport,0.0,0.0,0.0,,False
ILETAm,Isoleucine transaminase  mitochondrial,0.0,0.0,0.0,,False
KAS8,"B-ketoacyl synthetase (palmitate, n-C16:0)",0.0,0.0,0.0,,False
It,Iodide uniport,0.0,0.0,0.0,,False
ALASm,5 aminolevulinate synthase,0.0,0.0,0.0,,False
IZPN,Imidazolonepropionase,0.8789321014713627,0.8789321014713627,0.0,0.0,False
ILETA,Isoleucine transaminase,0.0,0.0,0.0,,False
ITPtn,ITP nuclear transport,0.0,0.0,0.0,,False
ITCOALm,Itaconate  CoA ligase  ADP forming   mitochondrial,0.0,0.0,0.0,,False
IDPtn,IDP nuclear transport,0.0,0.0,0.0,,False
IDOURtly,Iduronate transport into lysososme,0.0,0.0,0.0,,False
IDOAASE4ly,"Alpha-L-iduronidase, lysosomal",0.0,0.0,0.0,,False
IDOAASE3ly,"Alpha-L-iduronidase, lysosomal",0.0,0.0,0.0,,False
IDOAASE2ly,"Alpha-L-iduronidase, lysosomal",0.0,0.0,0.0,,False
KSII_CORE4t,"Keratan sulfate II (core4) transport, golgi to extracellular",0.0,0.0,0.0,,False
LEUKTRD4tr,Leukotriene intracellular transport,0.0,0.0,0.0,,False
LEUKTRD4t,Leukotriene D4 transport,0.0,0.0,0.0,,False
LEUKTRB4tr,Leukotriene intracellular transport,0.0,0.0,0.0,,False
KSII_CORE2tly,"Keratan sulfate II (core 2) transport, extracellular to lysosome",0.0,0.0,0.0,,False
KSII_CORE2t,"Keratan sulfate II (core2) transport, golgi to extracellular",0.0,0.0,0.0,,False
ALAt2r,L alanine reversible transport via proton symport,-3.2631361040175455,-3.2631361040175455,0.0,0.0,False
KHK3,Ketohexokinase (D-tagatose),0.0,0.0,0.0,,False
IMACTD,Imidazole acetaldeyde dehydrogenase,0.0,0.0,0.0,,False
KHK2,Ketohexokinase (D-xylulose),0.0,0.0,0.0,,False
KHK,Ketohexokinase,0.0,0.0,0.0,,False
ALATHRNaEx,L-alanine/L-threonine Na-dependent exchange (Ala-L in),0.0,0.0,0.0,,False
KDNH,2-keto-3deoxy-D-glycero-D-galactononic acid phosphohydrolase,0.0,0.0,0.0,,False
KCCt,K+-Cl- cotransport,0.0,0.0,0.0,,False
ALATA_L,L-alanine transaminase,-5.471117755334394,-5.471117755334394,0.0,0.0,False
ILEtec,L-isoleucine transport via diffusion (extracellular to cytosol),0.2743076861767726,0.2743076861767726,0.0,0.0,False
LEUtec,L-leucine transport via diffusion,0.4774985648262337,0.4774985648262337,0.0,0.0,False
LEUt5m,Leucine mitochondrial transport,0.0,0.0,0.0,,False
LEUt4,L-leucine transport in via sodium symport,0.0,0.0,0.0,,False
ALAt4,Alanine-Sodium symporter,0.0,0.0,0.0,,False
LEUTAm,Leucine transaminase  mitochondrial,0.0,0.0,0.0,,False
