column,group,dataset,full_name,PC1,PC2,PC3,PC4,PC5
KD_GSE101657_KD_3_Flux,KD,GSE101657,KD_GSE101657_KD_3,7.105617601533998,1.794485249702413,0.29983639402966233,-5.999640300202783,9.915993784824616
KD_GSE101657_KD_4_Flux,KD,GSE101657,KD_GSE101657_KD_4,7.43105272309275,-4.249014643917472,4.2935596637932605,0.4202333565008273,8.233836349133343
KD_GSE101657_KD_5_Flux,KD,GSE101657,KD_GSE101657_KD_5,6.720093086040448,-4.965985309097402,3.8551220887158304,-1.3559729812209023,4.699916370098129
KD_GSE101657_KD_6_Flux,KD,GSE101657,KD_GSE101657_KD_6,8.156863681115436,-4.920750562921824,0.5971724091056753,-7.365792991672392,11.691518488225793
KD_GSE248297_KD_1_Flux,KD,GSE248297,KD_GSE248297_KD_1,-22.22840884570012,-0.16614537996262096,1.4243688519763775,3.6105357051599967,0.60764795507987
KD_GSE248297_KD_2_Flux,KD,GSE248297,KD_GSE248297_KD_2,-19.64258857914763,-0.2469334846996906,-1.4006094591206086,-0.1722345644914934,1.1734115385930266
KD_GSE248297_KD_3_Flux,KD,GSE248297,KD_GSE248297_KD_3,-18.347633446836685,-12.018322989295088,-7.195418426776261,8.42516175615246,1.0595469639770125
KD_GSE248297_KD_4_Flux,KD,GSE248297,KD_GSE248297_KD_4,-19.65965851252412,-6.8706504906253345,-2.8761974835130384,-0.5299200561182896,5.786092336926622
KD_GSE248297_KD_5_Flux,KD,GSE248297,KD_GSE248297_KD_5,-24.40904458127766,5.0427981749910025,3.0037270218435896,-4.024765184629503,0.24253291787529133
WD_GSE159090_GSM4819145_WD_Male_Flux,WD,GSE159090,WD_GSE159090_GSM4819145_WD_Male,8.716520402469273,0.6453133378372877,4.591395607137703,4.619464991914667,-0.45454748886515334
WD_GSE159090_GSM4819155_WD_Male_Flux,WD,GSE159090,WD_GSE159090_GSM4819155_WD_Male,8.175250438216175,-0.04819836283410404,5.468250358833534,0.3024776934931159,0.3707228624429534
WD_GSE159090_GSM4819156_WD_Male_Flux,WD,GSE159090,WD_GSE159090_GSM4819156_WD_Male,10.324402393883163,-2.5057153522412237,9.777918938991654,-0.7443484602759974,1.1371890836294067
WD_GSE159090_GSM4819158_WD_Male_Flux,WD,GSE159090,WD_GSE159090_GSM4819158_WD_Male,9.312774566727892,-1.3722201785120394,4.845476540360219,2.9487478245359764,-1.4539029440181175
WD_GSE159090_GSM4819164_WD_Male_Flux,WD,GSE159090,WD_GSE159090_GSM4819164_WD_Male,9.89493052293703,-0.6687786518993727,3.9657460619943508,0.6055290266427757,0.6816625967343051
WD_GSE159090_GSM4819173_WD_Male_Flux,WD,GSE159090,WD_GSE159090_GSM4819173_WD_Male,8.52148785402324,-10.871535796771132,14.091787841957302,-4.131687105894633,-1.4109029231481984
WD_GSE159090_GSM4819174_WD_Male_Flux,WD,GSE159090,WD_GSE159090_GSM4819174_WD_Male,9.194409572097229,3.8126031246085548,2.0496191664083487,1.2046790639493978,-1.6117720805101179
WD_GSE159090_GSM4819181_WD_Male_Flux,WD,GSE159090,WD_GSE159090_GSM4819181_WD_Male,10.905943671042218,2.8063263012901403,3.7034476969086367,1.1405809512167189,1.0315707415334292
WD_GSE159090_GSM4819183_WD_Male_Flux,WD,GSE159090,WD_GSE159090_GSM4819183_WD_Male,8.300689145830278,-6.84621461184551,9.339181132052376,-2.7861538452682515,-2.5715667202254306
WD_GSE159090_GSM4819192_WD_Male_Flux,WD,GSE159090,WD_GSE159090_GSM4819192_WD_Male,9.936483552068056,-0.6339168681449933,3.6497749729916547,-0.2688257776694813,0.245200517587907
WD_GSE159090_GSM4819196_WD_Male_Flux,WD,GSE159090,WD_GSE159090_GSM4819196_WD_Male,9.588367274840369,-1.0844614742245542,7.9565412413882886,1.1445447826495923,-0.7217952354835815
WD_GSE159090_GSM4819201_WD_Male_Flux,WD,GSE159090,WD_GSE159090_GSM4819201_WD_Male,8.880876403555774,-1.9701138875762991,7.4081960164336085,-1.903638568393624,-0.6108733359784059
