reaction_id,reaction_name,subsystem,category,n_cell_types,primary_driver,secondary_drivers,all_cell_types
RTOT1,R total flux,R Group Synthesis,MULTI_CELLULAR,22,T cells,"Timd4+ resKC; Cx3cr1+, Ccr2+ MdM","LECs; Hepatocytes; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Macrophages; Dendrites; Ly6c2+, Ccr2+ Mo; T cells; Cycling; B cells; Neutrophiles; Trem2+, Spp1+ MdM; Ly6c2-, Spn+ Mo; Transitioning Mo; DCs; Mast cells"
RTOT2,R total flux,R Group Synthesis,COOPERATIVE,3,"Cd207+, Trem2+ Mo-KC",Transitioning Mo; DCs,"Cd207+, Trem2+ Mo-KC; Transitioning Mo; DCs"
RAI2,Retinal isomerase (9-cis),Vitamin A Metabolism,NON_CELLULAR,0,NONE,,
SERt4,L-serine via sodium symport,"Transport, Extracellular",MULTI_CELLULAR,4,"Cx3cr1+, Ccr2+ MdM","Ly6c2+, Ccr2+ Mo; Transitioning Mo","Cx3cr1+, Ccr2+ MdM; Ly6c2+, Ccr2+ Mo; Transitioning Mo; DCs"
RDH2,"Retinol dehydrogenase (9-cis,NADH)",Vitamin A Metabolism,COOPERATIVE,2,MCs,Cycling,MCs; Cycling
THRt4,L-threonine  via sodium symport,"Transport, Extracellular",MULTI_CELLULAR,5,LECs,"Cx3cr1+, Ccr2+ MdM; Ly6c2+, Ccr2+ Mo","LECs; Cx3cr1+, Ccr2+ MdM; Ly6c2+, Ccr2+ Mo; Transitioning Mo; DCs"
TMDK1,Thymidine kinase (ATP:thymidine),Nucleotides,MULTI_CELLULAR,10,qHSCs,Cholangiocytes; aHSCs,"qHSCs; Cholangiocytes; cAMP qHSCs; aHSCs; Dendrites; MCs; Neutrophiles; Trem2+, Spp1+ MdM; DCs; Mast cells"
RETI2,Retinol isomerase (9-cis),Vitamin A Metabolism,NON_CELLULAR,0,NONE,,
THRGLNexR,L-threonine/glycine reversible exchange,"Transport, Extracellular",CELL_TYPE_UNIQUE,1,Macrophages,,Macrophages
TTDCAtr_copy2,Fatty acid transport,"Transport, Extracellular",MULTI_CELLULAR,20,LECs,"Cd207-, Trem2+ Mo-KC; Timd4+ resKC","LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Macrophages; Dendrites; Ly6c2+, Ccr2+ Mo; MCs; T cells; B cells; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; DCs; Mast cells"
