ReactionID,ReactionName,Subsystem,MetaboliteID,MetaboliteName,Coefficient,Diff(HFD-SCD),Ratio(HFD/SCD)
PYRt2p,Pyruvate peroxisomal transport via proton symport,D-alanine metabolism,pyr_c,Pyruvate,-1.0,-0.3747830400265369,374783040026.537
PYRt2p,Pyruvate peroxisomal transport via proton symport,D-alanine metabolism,pyr_x,Pyruvate,1.0,-0.3747830400265369,374783040026.537
SERHL,L-Serine hydro-lyase,"Glycine, Serine, and Threonine Metabolism",2amac_c,2-Aminoacrylate,1.0,-0.3152148803053743,0.0
SERHL,L-Serine hydro-lyase,"Glycine, Serine, and Threonine Metabolism",h2o_c,H2O H2O,1.0,-0.3152148803053743,0.0
SERHL,L-Serine hydro-lyase,"Glycine, Serine, and Threonine Metabolism",ser__L_c,L-Serine,-1.0,-0.3152148803053743,0.0
SRTNtu,Serotonin uniport,"Transport, Extracellular",srtn_c,Serotonin,1.0,0.2716306273374014,0.0
SRTNtu,Serotonin uniport,"Transport, Extracellular",srtn_e,Serotonin,-1.0,0.2716306273374014,0.0
STRDNCt,Fatty acid transport via diffusion,"Transport, Extracellular",strdnc_c,"Stearidonic acid C18:4, n-3",1.0,-0.2182456637539691,218245663753.9691
STRDNCt,Fatty acid transport via diffusion,"Transport, Extracellular",strdnc_e,"Stearidonic acid C18:4, n-3",-1.0,-0.2182456637539691,218245663753.9691
TYRTA,Tyrosine transaminase,Tyrosine metabolism,34hpp_c,3-(4-Hydroxyphenyl)pyruvate,1.0,-0.2926531421587364,0.0
TYRTA,Tyrosine transaminase,Tyrosine metabolism,akg_c,2-Oxoglutarate,-1.0,-0.2926531421587364,0.0
TYRTA,Tyrosine transaminase,Tyrosine metabolism,glu__L_c,L-Glutamate,1.0,-0.2926531421587364,0.0
TYRTA,Tyrosine transaminase,Tyrosine metabolism,tyr__L_c,L-Tyrosine,-1.0,-0.2926531421587364,0.0
TYRt4,L-tyrosine transport in via sodium symport,"Transport, Extracellular",na1_c,Sodium,1.0,-0.6191413463500679,0.478344803954656
TYRt4,L-tyrosine transport in via sodium symport,"Transport, Extracellular",na1_e,Sodium,-1.0,-0.6191413463500679,0.478344803954656
TYRt4,L-tyrosine transport in via sodium symport,"Transport, Extracellular",tyr__L_c,L-Tyrosine,1.0,-0.6191413463500679,0.478344803954656
TYRt4,L-tyrosine transport in via sodium symport,"Transport, Extracellular",tyr__L_e,L-Tyrosine,-1.0,-0.6191413463500679,0.478344803954656
UMPK4,UMP kinase (GTP),Nucleotides,gdp_c,GDP C10H12N5O11P2,1.0,0.2302224221803562,0.0
UMPK4,UMP kinase (GTP),Nucleotides,gtp_c,GTP C10H12N5O14P3,-1.0,0.2302224221803562,0.0
UMPK4,UMP kinase (GTP),Nucleotides,udp_c,UDP C9H11N2O12P2,1.0,0.2302224221803562,0.0
UMPK4,UMP kinase (GTP),Nucleotides,ump_c,UMP C9H11N2O9P,-1.0,0.2302224221803562,0.0
UMPK6,UMP kinase (dCTP),Nucleotides,dcdp_c,DCDP C9H12N3O10P2,1.0,-0.2112963519495498,0.0
UMPK6,UMP kinase (dCTP),Nucleotides,dctp_c,DCTP C9H12N3O13P3,-1.0,-0.2112963519495498,0.0
UMPK6,UMP kinase (dCTP),Nucleotides,udp_c,UDP C9H11N2O12P2,1.0,-0.2112963519495498,0.0
UMPK6,UMP kinase (dCTP),Nucleotides,ump_c,UMP C9H11N2O9P,-1.0,-0.2112963519495498,0.0
