reaction_id,reaction_name,subsystem,compartment,gpr,compartment_readable
CHAT,Choline O-acetyltransferase,Glycerophospholipid Metabolism,c,12647 or 12647 or 12647 or 12647,cytosol
CHATn,Choline O-acetyltransferase,Glycerophospholipid Metabolism,n,12647 or 12647 or 12647 or 12647,nucleus
CHLP,Choline phosphate phosphatase,Glycerophospholipid Metabolism,c,237928,cytosol
CHLPCTD,Choline phosphate cytididyltransferase,Glycerophospholipid Metabolism,c,13026 or 236899,cytosol
CHLtm,Choline transport via diffusion (cytosol to mitochondria),"Transport, Mitochondrial",c,,cytosol
CHOLATEt2,Cholate transport via sodium cotransport,"Transport, Extracellular",e,20493 or 20494,extracellular
CHOLATEt3,ABC bile acid transporter,"Transport, Extracellular",e,76408 or 27413 or 76408 or 76408,extracellular
CHOLD2m,"Choline dehydrogenase (FAD acceptor), mitochondrial","Glycine, Serine, and Threonine Metabolism",m,218865,mitochondria
CHOLK,Choline kinase,Glycerophospholipid Metabolism,c,12651 or 12660 or 12651 or 12660,cytosol
CHOLPtg,Choline phosphate intracellular transport,"Transport, Golgi Apparatus",c,,cytosol
CHOLPtl,Choline phosphate intracellular transport,"Transport, Lysosomal",c,,cytosol
CHOLt4,"Choline, sodium cotransport","Transport, Extracellular",e,63993,extracellular
CHOLtg,Choline intracellular transport,"Transport, Golgi Apparatus",c,,cytosol
CHOLtn,"Choline transport, nuclear through pores","Transport, Nuclear",c,,cytosol
CHOLtr,Choline intracellular transport,"Transport, Endoplasmic Reticular",c,,cytosol
CHOLtu,Choline uniport,"Transport, Extracellular",e,20518 or 20520 or 20518,extracellular
CHSTEROLSULT,Steroid sulfotransferase,Steroid Metabolism,c,54200,cytosol
CHSTEROLt,Cholesterol efflux (ATP depedent),"Transport, Extracellular",e,11303,extracellular
CHSTEROLt1,Cholesterol intracellular transport,"Transport, Mitochondrial",l,59045,l
CHSTEROLt2,Cholesterol intracellular transport,"Transport, Mitochondrial",m,,mitochondria
CHSTEROLt3,Cholesterol intracellular transport,"Transport, Mitochondrial",c,,cytosol
CHSTEROLtg,"Cholesterol efflux (ATP depedent), golgi","Transport, Golgi Apparatus",c,11303,cytosol
CHTNASE,CHTNASE,Aminosugar Metabolism,c,81600 or 67729 or 71884,cytosol
CHTNASEe,"Chitinase, extracellular",Aminosugar Metabolism,e,81600,extracellular
CITL,Citrate lyase,Citric Acid Cycle,c,69634 or 69634,cytosol
CITMCOAHm,"L-Citramalyl-CoA hydro-lyase, mitochondrial",C5-Branched dibasic acid metabolism,m,,mitochondria
CITMCOALm,L-Citramalyl-CoA pyruvate-lyase,C5-Branched dibasic acid metabolism,m,,mitochondria
CITRtm,"Citrulline transport via diffusion, mitochondria","Transport, Mitochondrial",c,83885 or 18408,cytosol
CITt4_2,Citrate transport via sodium symport,"Transport, Extracellular",e,20500,extracellular
CITt4_4,Citrate transport via sodium symport,"Transport, Extracellular",e,237831,extracellular
CITtam,Citrate transport  mitochondrial,"Transport, Mitochondrial",c,13358,cytosol
CITtbm,Citrate transport  mitochondrial,"Transport, Mitochondrial",c,13358,cytosol
CK,ATP Creatine kinase,Urea cycle/amino group metabolism,m,1159 or 76722,mitochondria
CKc,ATP Creatine kinase (c),Urea cycle/amino group metabolism,c,12709 or (12715 and 12709) or 12715,cytosol
CLFORtex,Chloride transport via formate countertransport,"Transport, Extracellular",e,23985,extracellular
CLFORtex2,Chloride transport via formate countertransport (2:1),"Transport, Extracellular",e,171429 or 171429 or 171429,extracellular
CLHCO3tex2,Chloride transport via bicarbonate countertransport (2:1),"Transport, Extracellular",e,171429 or 171429 or 171429,extracellular
CLHCOtex,Chloride transport via bicarbonate countertransport,"Transport, Extracellular",e,224661 or 23985 or 224661 or 320718 or 13487 or 320718 or 13521 or 208890 or 208890,extracellular
CLI2tex,Chloride transport via iodide countertransport,"Transport, Extracellular",e,23985,extracellular
CLOHtex2,Chloride transport via hydroxide countertransport (2:1),"Transport, Extracellular",e,171429 or 171429 or 171429,extracellular
CLOXAtex2,Chloride transport via oxalate countertransport (2:1),"Transport, Extracellular",e,171429 or 171429 or 171429,extracellular
CLPNDCOAtx,Fatty acid intracellular transport,"Transport, Peroxisomal",c,,cytosol
CLPNDCPT1,Carnitine O-palmitoyltransferase,Carnitine shuttle,c,12895 or 12895 or 12895 or 78070 or 12894 or 12895,cytosol
CLPNDCPT2,Carnitine transferase,Carnitine shuttle,m,12896,mitochondria
CLPNDCRNt,Transport into the mitochondria (carnitine),Carnitine shuttle,c,57279,cytosol
CLPNDt,Fatty acid transport via diffusion,"Transport, Extracellular",e,,extracellular
CLS_hs,Cardiolipin synthase (homo sapiens),Glycerophospholipid Metabolism,c,66586,cytosol
CMPACNAtg,CMP-Sia Golgi transport via CMP antiport,"Transport, Golgi Apparatus",c,24060,cytosol
CMPACNAtn,CMP-Sia nuclear export,"Transport, Nuclear",c,,cytosol
ACNMCT,CTP:N-acylneuraminate cytidylyltransferase,Aminosugar Metabolism,c,12764,cytosol
CMPSASn,"CMP sialic acid synthase, nuclear",Aminosugar Metabolism,n,12764,nucleus
CO2t,CO2 transporter via diffusion,"Transport, Extracellular",e,,extracellular
CO2ter,CO2 endoplasmic reticular transport via diffusion,"Transport, Endoplasmic Reticular",c,,cytosol
CO2tg,CO2 Golgi transport,"Transport, Golgi Apparatus",c,,cytosol
CO2tm,CO2 transport  diffusion   mitochondrial,"Transport, Mitochondrial",c,,cytosol
CO2tn,CO2 nuclear transport via diffusion,"Transport, Nuclear",c,,cytosol
CYOR_u10m,"Ubiquinol-6 cytochrome c reductase, Complex III",Oxidative Phosphorylation,c,(22273 and 100042918 and 66152 and 66594 and 17711 and 67003 and 66694 and 66445 and 22272 and 67530) or (22273 and 100042918 and 17711 and 66594 and 66152 and 67003 and 66445 and 66694 and 22272 and 67530),cytosol
CYSALANaEx,L-alanine/L-cysteine Na-dependent exchange (Cys-L in),"Transport, Extracellular",e,55963 or 20514,extracellular
CYSAMO,Cysteamine oxygenase,Taurine and hypotaurine metabolism,c,,cytosol
CYSASNNaEx,L-cysteine/L-asparagine Na-dependent exchange (Cys-L in),"Transport, Extracellular",e,20514,extracellular
CYSGLNNaEx,L-cysteine/L-glutamine Na-dependent exchange (Cys-L in),"Transport, Extracellular",e,20514,extracellular
CYSGLTH,Glutathione:cystine oxidoreductase,Cysteine Metabolism,c,,cytosol
CYSGLUexR,L-cysteine/L-glutamine reversible exchanger,"Transport, Extracellular",e,17254 and 53896,extracellular
CYSGLYex_copy1,L-cysteine/glycine exchanger,"Transport, Extracellular",e,(17254 and 50934) or (17254 and 50934),extracellular
CYSGLYex_copy2,L-cysteine/glycine exchanger,"Transport, Extracellular",e,53896 and 17254,extracellular
CYSLYSL,L-Cystine Lysteine-lyase (deaminating),Cysteine Metabolism,c,,cytosol
CYSO,Cysteine oxidase,Taurine and hypotaurine metabolism,c,12583,cytosol
CYSSERNaEx,L-serine/L-cysteine Na-dependent exchange (Cys-L in),"Transport, Extracellular",e,55963 or 20514,extracellular
CYSTA,Cysteine transaminase,Cysteine Metabolism,c,14718,cytosol
CYSTAm,L-Cysteine:2-oxoglutarate aminotransferase,Cysteine Metabolism,m,14719,mitochondria
CYSTGL,Cystathionine g lyase,Cysteine Metabolism,c,107869 or 107869,cytosol
CYSTGLUex,L-cystine/L-glutamate exchanger,"Transport, Extracellular",e,26570 and 17254,extracellular
CYSTHRNaEx,L-cysteine/L-threonine Na-dependent exchange (Cys-L in),"Transport, Extracellular",e,55963 or 20514,extracellular
CYSTS,Cystathionine beta synthase,Methionine Metabolism,c,12411,cytosol
CYSTSERex,L-cystine/glycine exchanger (cystine in),"Transport, Extracellular",e,20532 and 30962,extracellular
CYSt4,L-cysteine reversible transport via sodium symport,"Transport, Extracellular",e,56774,extracellular
CYStec,L-cysteine transport via diffusion (extracellular to cytosol),"Transport, Extracellular",e,215113,extracellular
CYTD,Cytidine deaminase,Pyrimidine Catabolism,c,72269 or 11628,cytosol
CYTDK1,ATP:cytidine 5'-phosphotransferase,Nucleotides,c,80914 or 22245,cytosol
CYTDK2m,"Cytidine kinase (ATP), mitochondrial",Nucleotides,m,,mitochondria
CYTDn,"Cytidine deaminase, nuclear",Nucleotides,n,11628,nucleus
CYTDt,Cytidine facilated transport in cytosol,"Transport, Extracellular",e,13340 or 63959,extracellular
CYTDt4,Cytidine transport in via sodium symport,"Transport, Extracellular",e,434203 or 434203 or 114304,extracellular
CYTDt5,Cytidine transport (1:2 Na/cytd cotransport),"Transport, Extracellular",e,114304,extracellular
CYTDtl,Cytidine facilated transport from lysosome,"Transport, Lysosomal",c,71279,cytosol
CYTDtm,Cytidine facilated transport in mitochondria,"Transport, Mitochondrial",c,63959,cytosol
CYTDtn,Cytidine  transport in nucleus,"Transport, Nuclear",c,,cytosol
CYTK1,Cytidylate kinase (CMP),Nucleotides,c,66588,cytosol
CYTK10,"Cytidylate kinase (CMP,dGTP)",Nucleotides,c,66588,cytosol
CYTK10n,"Cytidylate kinase (CMP,dGTP),nuclear",Nucleotides,n,66588,nucleus
CYTK11,"Cytidylate kinase (dCMP,dGTP)",Nucleotides,c,66588,cytosol
CYTK11n,"Cytidylate kinase (dCMP,dGTP),nuclear",Nucleotides,n,66588,nucleus
CYTK12,"Cytidylate kinase (dCMP,dCTP)",Nucleotides,c,66588,cytosol
CYTK12n,"Cytidylate kinase (dCMP,dCTP),nuclear",Nucleotides,n,66588,nucleus
CYTK13,"Cytidylate kinase (dCMP,dATP)",Nucleotides,c,66588,cytosol
CYTK13n,"Cytidylate kinase (dCMP,dATP),nuclear",Nucleotides,n,66588,nucleus
CYTK14,"Cytidylate kinase (dCMP,UTP)",Nucleotides,c,66588,cytosol
CYTK14n,"Cytidylate kinase (dCMP,CTP),nuclear",Nucleotides,n,66588,nucleus
CYTK1m,"Cytidylate kinase (CMP),mitochondrial",Nucleotides,m,,mitochondria
CYTK1n,"Cytidylate kinase (CMP),nuclear",Nucleotides,n,66588,nucleus
CYTK2,Cytidylate kinase (dCMP),Nucleotides,c,66588,cytosol
CYTK2n,"Cytidylate kinase (dCMP),nuclear",Nucleotides,n,66588,nucleus
CYTK3,Cytidylate kinase (CMP)(GTP),Nucleotides,c,229949 or 229949,cytosol
CYTK3n,"Cytidylate kinase (dCMP,CTP),nuclear",Nucleotides,n,66588,nucleus
CYTK4,Cytidylate kinase (dCMP)(GTP),Nucleotides,c,229949 or 229949,cytosol
CYTK4n,"Cytidylate kinase (dCMP,GTP),nuclear",Nucleotides,n,66588,nucleus
CYTK2_1,Adenylate kinase,Nucleotides,c,66588,cytosol
CYTK5n,"Cytidylate kinase (CMP),nuclear",Nucleotides,n,66588,nucleus
CPK1,Adenylate kinase,Nucleotides,c,66588,cytosol
CYTK6n,"Cytidylate kinase (CMP,CTP),nuclear",Nucleotides,n,66588,nucleus
CYTK7,"Cytidylate kinase (CMP,UTP)",Nucleotides,c,66588,cytosol
CYTK7n,"Cytidylate kinase (CMP,UTP),nuclear",Nucleotides,n,66588,nucleus
CYTK8,"Cytidylate kinase (CMP,dATP)",Nucleotides,c,66588,cytosol
CYTK8n,"Cytidylate kinase (CMP,dATP),nuclear",Nucleotides,n,66588,nucleus
CYTK9,"Cytidylate kinase (CMP,dCTP)",Nucleotides,c,66588,cytosol
CYTK9n,"Cytidylate kinase (CMP,dCTP),nuclear",Nucleotides,n,66588,nucleus
CytOxe,CytOxe  ,,m,,mitochondria
D_3AIBt,D-3-amino-isobutyrate transport,"Transport, Extracellular",e,,extracellular
D_LACt2,D lactate transport via proton symport,"Transport, Extracellular",e,20503 or 57274 or 20501 or 80879,extracellular
D_LACtm,D lactate transport  mitochondrial,"Transport, Mitochondrial",c,20501,cytosol
D3AIBTm,"D-3-Amino-isobutanoate:pyruvate aminotransferase, mitochondrial",Pyrimidine Catabolism,m,,mitochondria
DADA,Deoxyadenosine deaminase,Nucleotides,c,11486,cytosol
DADAe,"Deoxyadenosine deaminase, extracellular",Nucleotides,e,11486,extracellular
DADNK,Deoxyadenosine kinase,Nucleotides,c,,cytosol
DADNt4,Deoxyadenosine transport via diffusion,"Transport, Extracellular",e,,extracellular
DAGKn_hs,Diacylglycerol phosphate kinase (homo sapiens),Glycerophospholipid Metabolism,n,104418 or 320127,nucleus
DAG_HSter,Diacylglycerol ER export,"Transport, Endoplasmic Reticular",c,,cytosol
DAGt,Diacylglycerol Transport,"Transport, Extracellular",e,,extracellular
DALAOXx,D-Alanine Oxidase (x),D-alanine metabolism,x,13142,peroxisome
DALAt2r,D-alanine transport via proton symport,"Transport, Extracellular",e,215335,extracellular
DIGALSGALSIDEte,Transport of Digalactosylceramidesulfate ,"Transport, Extracellular",e,,extracellular
DIGALSGALSIDEtg,Digalsgalside hs intracellular transport,"Transport, Golgi Apparatus",c,,cytosol
DIGALSIDEtg,Digalside hs intracellular transport,"Transport, Golgi Apparatus",c,,cytosol
DIGALSIDEtl,Digalside hs intracellular transport,"Transport, Lysosomal",c,,cytosol
DINt,Deoxyinosine transport via diffusion,"Transport, Extracellular",e,,extracellular
DITPtn,DITP nuclear transport,"Transport, Nuclear",c,,cytosol
DKMPPD,"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction",Arginine and Proline Metabolism,c,,cytosol
DLNLCGCPT1,Carnitine O-palmitoyltransferase,Carnitine shuttle,c,12895 or 12895 or 12895 or 78070 or 12894 or 12895,cytosol
DLNLCGCPT2,Carnitine transferase,Carnitine shuttle,m,12896,mitochondria
DLNLCGCRNt,Transport into the mitochondria (carnitine),Carnitine shuttle,c,57279,cytosol
DLNLCGt,Fatty acid transport via diffusion,"Transport, Extracellular",e,,extracellular
DMANTIPYRINEte,Xenobiotic transport,"Transport, Extracellular",e,,extracellular
DMATT,Dimethylallyltranstransferase,Cholesterol Metabolism,c,14593,cytosol
DMATTx,Dimethylallyltranstransferase,Cholesterol Metabolism,x,110196,peroxisome
DMGDHm,"Dimethylglycine dehydrogenase, mitochondrial","Glycine, Serine, and Threonine Metabolism",m,74129,mitochondria
DMGtm,Dimethylglycine transport via diffusion (cytosol to mitochondria),"Transport, Mitochondrial",c,,cytosol
DMHPTCRNCPT1,Carnitine fatty-acyl transferase,Carnitine shuttle,c,,cytosol
DMHPTCRNCPT2,"2,6 dimethylheptanoly CoA carnitine transferase",Carnitine shuttle,m,,mitochondria
DMHPTCRNt,"2,6 dimethylheptanoyl crn transport",Carnitine shuttle,c,,cytosol
DMHPTCRNte,"2,6 dimethylheptanoyl carnitine transport","Transport, Extracellular",e,,extracellular
DMNONCOACRNCPT1,DMNONCOACRNCPT1,Carnitine shuttle,c,,cytosol
C110CPT2m_copy2,DMNONCRNCPT2,Carnitine shuttle,m,,mitochondria
DMNONCRNt,"4,8 dimethylnonanoyl crn transport",Carnitine shuttle,c,,cytosol
DNADDP,Deamino-NAD+ nucleotidohydrolase,NAD Metabolism,c,18605 or 209558 or 18606,cytosol
DNADtn,"DNAD transport, nuclear trhough pore","Transport, Nuclear",c,,cytosol
DNAMTSEn,"DNA (cytosine-5-)-methyltransferase, nucleus",Selenoamino acid metabolism,n,13434 or 13435 or 13434 or 13434 or 13435 or 13436 or 13434 or 13436 or 13436 or 13435 or 13433 or 13434 or 13436 or 13435 or 13434,nucleus
DNAMTn,"DNA (cytosine-5-)-methyltransferase, nucleus",Methionine Metabolism,n,13434 or 13435 or 13434 or 13434 or 13435 or 13436 or 13434 or 13436 or 13436 or 13435 or 13433 or 13434 or 13436 or 13435 or 13434,nucleus
DNDPt10m,DADP transport via dCDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt11m,DADP transport via dGDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt12m,DADP transport via ADP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt13m,DADP transport via ATP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt14m,DUDP transport via dTDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt15m,DUDP transport via dGDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt16m,DUDP transport via dADP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt17m,DUDP transport via dCDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt18m,DUDP transport via ADP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt19m,DUDP transport via ATP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt1m,DATP transport via ADP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt20m,DTDP transport via ATP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt21m,DTDP transport via ADP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt22m,DTDP transport via dUDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt23m,DTDP transport via dGTP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt24m,DTDP transport via dADP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt25m,DTDP transport via dCDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt26m,DCDP transport via dUDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt27m,DCDP transport via dTDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt28m,DCDP transport via dGDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt29m,DCDP transport via dADP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt2m,DATP transport via ATP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt30m,DCDP transport via ADP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt31m,DCDP transport via ATP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt32m,DGDP transport via ATP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt33m,DGDP transport via dUDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt34m,DGDP transport via dTDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt35m,DGDP transport via dADP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt36m,DGDP transport via dCDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt37m,DUTP transport via dTDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt38m,DUTP transport via dUDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt39m,DUTP transport via dGDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt3m,DATP transport via dCDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt40m,DUTP transport via dADP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt41m,DUTP transport via dCDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt42m,DUTP transport via ADP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt43m,DUTP transport via ATP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt44m,DTTP transport via ATP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt45m,DTTP transport via ADP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt46m,DTTP transport via dUDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt47m,"Deoxynucleotide carrier (dttp), mitochondrial","Transport, Mitochondrial",c,67283,cytosol
DNDPt48m,DTTP transport via dGDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt49m,DTTP transport via dADP antiport,"Transport, Mitochondrial",c,67283,cytosol
DNDPt4m,DATP transport via dUDP antiport,"Transport, Mitochondrial",c,67283,cytosol
DPGase,Diphosphoglycerate phosphatase,Glycolysis/Gluconeogenesis,c,12183 or 18648 or 56012 or 56012 or 12183,cytosol
DPHMBDCm,3-Decaprenyl-4-hydroxy-5-methoxybenzoate  decarboxylation,Ubiquinone Biosynthesis,m,,mitochondria
DPMVDx,Diphosphomevalonate decarboxylase,Cholesterol Metabolism,x,192156,peroxisome
DPPS,Decaprenyl synthase,Miscellaneous,c,,cytosol
DPROOp,"D-proline oxidase, perixosomal",Arginine and Proline Metabolism,x,13142,peroxisome
DRBK,Deoxyribokinase,Pentose Phosphate Pathway,c,71336,cytosol
DRIBt,Deoxyribose transport via diffusion,"Transport, Extracellular",e,,extracellular
DRPA,Deoxyribose-phosphate aldolase,Pentose Phosphate Pathway,c,,cytosol
DSAT,Dihydrosphingosine N-acyltransferase,Sphingolipid Metabolism,c,,cytosol
DTDPtn,DTDP nuclear transport,"Transport, Nuclear",c,,cytosol
DTMPK,DTMP kinase,Nucleotides,c,21915,cytosol
DTTPtn,DTTP diffusion in nucleus,"Transport, Nuclear",c,,cytosol
DUDPtn,DUDP nuclear transport,"Transport, Nuclear",c,,cytosol
DUMPtn,DUMP nuclear transport,"Transport, Nuclear",c,,cytosol
DURAD,Dihydrouracil dehydrogenase (NADP),Pyrimidine Catabolism,c,99586,cytosol
DURAD2,Dihydrothymin dehydrogenase (NADP),Pyrimidine Catabolism,c,99586,cytosol
DURIK1,Deoxyuridine kinase (ATP:Deoxyuridine),Nucleotides,c,619653 or 57813,cytosol
DURIK1m,"Deoxyuridine kinase (ATP:Deoxyuridine), mitochondrial",Nucleotides,m,57813,mitochondria
DURIPP,Deoxyuridine phosphorylase,Nucleotides,c,667034 or 76654,cytosol
DURIt,Deoxyuridine transport via diffusion,"Transport, Extracellular",e,,extracellular
DURItn,Deoxyuridine  transport in nucleus,"Transport, Nuclear",c,,cytosol
DUTPDPm,DUTP diphosphatase,Nucleotides,m,110074,mitochondria
DUTPDPn,"DUTP diphosphatase, nuclear",Nucleotides,n,110074,nucleus
EAFLATOXINte,Xenobiotic transport,"Transport, Extracellular",e,,extracellular
EBASTINEOHte,Xenobiotic transport,"Transport, Extracellular",e,,extracellular
EBASTINEOHtr,Xenobiotic transport,"Transport, Endoplasmic Reticular",c,,cytosol
EBASTINEte,Xenobiotic transport,"Transport, Extracellular",e,,extracellular
EBASTINEtr,Xenobiotic transport,"Transport, Endoplasmic Reticular",c,,cytosol
EBP1r,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",Cholesterol Metabolism,r,13595,ER
EBP2r,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",Cholesterol Metabolism,r,13595,ER
ECGISOr,Ecgonine isomerase (ER),Alkaloid biosynthesis II,r,,ER
ECOAH12m,"Enoyl-coa hydratase, 3-Hydroxyisobutyryl-CoA forming","Valine, Leucine, and Isoleucine Metabolism",m,93747 or (97212 and 231086),mitochondria
ECOAH1m,"3-Hydroxybutanoyl-CoA hydro-lyase, mitochondria",Tryptophan metabolism,m,11992 or (97212 and 231086) or 93747,mitochondria
ECOAH1x,(S)-3-Hydroxybutanoyl-CoA hydro-lyase,Tryptophan metabolism,x,51798 or 74147,peroxisome
ECOAH9m,"Enoyl-coa hydratase, 3-Hydroxy-2-methylbutyryl-CoA forming","Valine, Leucine, and Isoleucine Metabolism",m,93747 or (97212 and 231086),mitochondria
EGMESTr,Ecgonine methyl esterase (ER),Alkaloid biosynthesis II,r,67758,ER
EHGLAT,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase,Arginine and Proline Metabolism,c,14718,cytosol
EHGLAT2m,"L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase 2, mitochondrial",Arginine and Proline Metabolism,m,14719,mitochondria
EHGLATm,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase  mitochondrial,Arginine and Proline Metabolism,m,14719,mitochondria
EICOSTETCPT1,Carnitine O-palmitoyltransferase,Carnitine shuttle,c,12895 or 12895 or 12895 or 78070 or 12894 or 12895,cytosol
EICOSTETCPT2,Carnitine transferase,Carnitine shuttle,m,12896,mitochondria
EICOSTETCRNt,Transport into the mitochondria (carnitine),Carnitine shuttle,c,57279,cytosol
EICOSTETt,Fatty acid transport via diffusion,"Transport, Extracellular",e,,extracellular
ELAIDCPT1,Carnitine O-palmitoyltransferase,Carnitine shuttle,c,12895 or 12895 or 12895 or 78070 or 12894 or 12895,cytosol
ELAIDCPT2,Carnitine transferase,Carnitine shuttle,m,12896,mitochondria
ELAIDCRNt,Transport into the mitochondria (carnitine),Carnitine shuttle,c,57279,cytosol
ELAIDt,Fatty acid transport via diffusion,"Transport, Extracellular",e,,extracellular
ENGASE,Endo-beta-N-acetylglucosaminidase,N-Glycan Degradation,c,217364,cytosol
ENGASE2,Endo-beta-N-acetylglucosaminidase,N-Glycan Degradation,c,217364,cytosol
ENGASE2ly,"Endo-beta-N-acetylglucosaminidase, lysosomal",N-Glycan Degradation,l,,l
ENGASE3ly,"Endo-beta-N-acetylglucosaminidase, lysosomal",Keratan sulfate degradation,l,,l
ENGASEly,"Endo-beta-N-acetylglucosaminidase, lysosomal",N-Glycan Degradation,l,,l
ENMAN1g,"Endomannosidase (glc1man-producing), Golgi apparatus",N-Glycan Biosynthesis,g,,g
ENMAN2g,"Endomannosidase (glc2man-producing), Golgi apparatus",N-Glycan Biosynthesis,g,,g
ENMAN3g,"Endomannosidase (glc3man-producing), Golgi apparatus",N-Glycan Biosynthesis,g,,g
ENMAN4g,"Endomannosidase (m6masnC-producing), Golgi apparatus",N-Glycan Biosynthesis,g,,g
ENMAN5g,"Endomannosidase (m6masnB2-producing), Golgi apparatus",N-Glycan Biosynthesis,g,,g
ENMAN6g,"Endomannosidase (m5masnB1-producing), Golgi apparatus",N-Glycan Biosynthesis,g,,g
ENO,Enolase,Glycolysis/Gluconeogenesis,c,13806 or 26237 or 13808 or 13808 or 13807,cytosol
EPCTX,Ethanolamine-phosphate cytidylyltransferase,Glycerophospholipid Metabolism,c,68671,cytosol
ESTRADIOLGLCt2,17-beta-D-glucuronide transport (ATP-dependent),"Transport, Extracellular",e,239273,extracellular
ESTRADIOLGLCtr,Glucuronidated compound transport,"Transport, Endoplasmic Reticular",c,,cytosol
ESTRADIOLt,Transport of Estradiol ,"Transport, Extracellular",e,,extracellular
ESTRADIOLtr,Estradiol intracellular transport,"Transport, Endoplasmic Reticular",c,,cytosol
ESTRIOLGLCte,Glucuronidated compound transport,"Transport, Extracellular",e,17250,extracellular
ESTRIOLGLCtr,Glucuronidated compound transport,"Transport, Endoplasmic Reticular",c,,cytosol
ESTRIOLtr,Estriol intracellular transport,"Transport, Endoplasmic Reticular",c,,cytosol
ESTRONEGLCt,ABC transporter,"Transport, Extracellular",e,76408 or 76408 or 76408,extracellular
ESTRONEGLCtr,Glucuronidated compound transport,"Transport, Endoplasmic Reticular",c,,cytosol
ESTRONESt2,Estrone-3-sulfate transport via sodium cotransport,"Transport, Extracellular",e,20493,extracellular
ESTRONEtr,Estrone intracellular transport,"Transport, Endoplasmic Reticular",c,,cytosol
ESTSULT,Estrogen sulfotransferase,Steroid Metabolism,c,20860 or 20887 or 20887 or 20887 or 20887 or 20887,cytosol
FALDtm,Formaldehyde transport via diffusion (mitochondrial),"Transport, Mitochondrial",c,,cytosol
ETF,Electron transfer flavoprotein,Fatty acid oxidation,m,(110826 and 110842) or (110826 and 110842),mitochondria
ETFQO,Electron transfer flavoprotein-ubiquinone oxidoreductase,Fatty acid oxidation,m,66841,mitochondria
ETHAK,Ethanolamine kinase,Glycerophospholipid Metabolism,c,12660 or 75320 or 12660 or 214253,cytosol
ETHP,Ethanolamine phosphate phosphatase,Glycerophospholipid Metabolism,c,237928,cytosol
ETOHMO,Ethanol monooxygenase,Glycolysis/Gluconeogenesis,c,13106,cytosol
ETOHt,Ethanol reversible transport,"Transport, Extracellular",e,,extracellular
ETOHtx,"Ethanol transport via diffusion, glyoxysome","Transport, Peroxisomal",c,,cytosol
F1Atg,F1alpha transport (from golgi to lysosome),"Transport, Golgi Apparatus",l,,l
F1PGT,Fucose-1-phosphate guanylyltransferase,Fructose and Mannose Metabolism,c,75540,cytosol
