query,entrez,name,symbol,alias,taxid,MGI
13123,13123,"cytochrome P450, family 7, subfamily b, polypeptide 1",Cyp7b1,"D3Ertd552e, hct-1",10090,MGI:104978
13124,13124,"cytochrome P450, family 8, subfamily b, polypeptide 1",Cyp8b1,,10090,MGI:1338044
13135,13135,defender against cell death 1,Dad1,,10090,MGI:101912
13142,13142,D-amino acid oxidase,Dao,"DAAO, DAMOX, Dao-1, Dao1",10090,MGI:94859
13166,13166,dopamine beta hydroxylase,Dbh,,10090,MGI:94864
13171,13171,dihydrolipoamide branched chain transacylase E2,Dbt,"BCKAD E2, BCKAD-E2, D3Wsu60e",10090,MGI:105386
13178,13178,deoxycytidine kinase,Dck,,10090,MGI:102726
13190,13190,dopachrome tautomerase,Dct,"DT, TRP-2, TRP2, Tyrp-2, Tyrp2",10090,MGI:102563
320685,320685,dCMP deaminase,Dctd,6030466N05Rik,10090,MGI:2444529
67880,67880,dicarbonyl L-xylulose reductase,Dcxr,"0610038K04Rik, 1810027P18Rik, XR",10090,MGI:1915130
13195,13195,dopa decarboxylase,Ddc,Aadc,10090,MGI:94876
70503,70503,D-aspartate oxidase,Ddo,"5330420D20Rik, 5730402C02Rik, DASPO",10090,MGI:1925528
13200,13200,dolichyl-di-phosphooligosaccharide-protein glycotransferase,Ddost,,10090,MGI:1194508
13244,13244,"delta 4-desaturase, sphingolipid 1",Degs1,"Degs, Des1, Mdes",10090,MGI:1097711
13350,13350,diacylglycerol O-acyltransferase 1,Dgat1,"ARAT, D15Ertd23e, Dgat",10090,MGI:1333825
67800,67800,diacylglycerol O-acyltransferase 2,Dgat2,"0610010B06Rik, ARAT, DGAT-2",10090,MGI:1915050
320127,320127,"diacylglycerol kinase, iota",Dgki,"6430604M11Rik, C130010K08Rik",10090,MGI:2443430
104418,104418,diacylglycerol kinase zeta,Dgkz,"E130307B02Rik, F730209L11Rik, mDGK[z]",10090,MGI:1278339
27369,27369,deoxyguanosine kinase,Dguok,"dGK, dGK1, dGK2, dGK3",10090,MGI:1351602
74754,74754,24-dehydrocholesterol reductase,Dhcr24,"2310076D10Rik, 5830417J06Rik, mKIAA0018",10090,MGI:1922004
13360,13360,7-dehydrocholesterol reductase,Dhcr7,,10090,MGI:1298378
13361,13361,dihydrofolate reductase,Dhfr,8430436I03Rik,10090,MGI:94890
56749,56749,dihydroorotate dehydrogenase,Dhodh,2810417D19Rik,10090,MGI:1928378
235339,235339,dihydrolipoamide S-acetyltransferase,Dlat,"6332404G05Rik, DLTA, PDC-E2",10090,MGI:2385311
13382,13382,dihydrolipoamide dehydrogenase,Dld,,10090,MGI:107450
78920,78920,dihydrolipoamide S-succinyltransferase,Dlst,"1600017E01Rik, 4632413C10Rik, 4930529O08Rik, DLTS",10090,MGI:1926170
74129,74129,dimethylglycine dehydrogenase precursor,Dmgdh,1200014D15Rik,10090,MGI:1921379
13433,13433,DNA methyltransferase 1,Dnmt1,"Cxxc9, Dnmt, Dnmt1o, MCMT, MTase",10090,MGI:94912
13435,13435,DNA methyltransferase 3A,Dnmt3a,MmuIIIA,10090,MGI:1261827
13436,13436,DNA methyltransferase 3B,Dnmt3b,MmuIIIB,10090,MGI:1261819
57170,57170,dolichyl pyrophosphate phosphatase 1,Dolpp1,"0610011H20Rik, LSFR2",10090,MGI:1914093
208266,208266,DOT1 like histone lysine methyltransferase,Dot1l,"A630076O07, Dot1, KMT4, mDot1",10090,MGI:2143886
13478,13478,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1,Dpagt1,"Dpagt2, G1PT, GPT, Gnpta",10090,MGI:1196396
13480,13480,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",Dpm1,,10090,MGI:1330239
13481,13481,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory",Dpm2,,10090,MGI:1330238
68563,68563,dolichyl-phosphate mannosyltransferase polypeptide 3,Dpm3,1110001H19Rik,10090,MGI:1915813
99586,99586,dihydropyrimidine dehydrogenase,Dpyd,"DHPDHase, DPD, E330028L06Rik",10090,MGI:2139667
64705,64705,dihydropyrimidinase,Dpys,"1200017I10Rik, 1300004I01Rik, DHP, DHPase",10090,MGI:1928679
12934,12934,dihydropyrimidinase-like 2,Dpysl2,"Crmp2, DRP2, Musunc33, TOAD-64, Ulip2",10090,MGI:1349763
22240,22240,dihydropyrimidinase-like 3,Dpysl3,"CRMP-4, DRP-3, TUC4, ULIP-1, Ulip",10090,MGI:1349762
21915,21915,deoxythymidylate kinase,Dtymk,"CDC8, D10Ertd203e, TMPK, TYPK, Tmk",10090,MGI:108396
99439,99439,dual oxidase 1,Duox1,"9930101G15Rik, Duox2, LNOX1, LNOX2, NOXEF1",10090,MGI:2139422
214593,214593,dual oxidase 2,Duox2,"A430065P05Rik, LNOX2, NOXEF2, P138-TOX, THOX2",10090,MGI:3036280
110074,110074,deoxyuridine triphosphatase,Dut,"5031412I06Rik, 5133400F09Rik, D2Bwg0749e, Dutp, dUTPase",10090,MGI:1346051
13595,13595,EBP cholestenol delta-isomerase,Ebp,"Pabp, SI, Td, mSI",10090,MGI:107822
51798,51798,"enoyl coenzyme A hydratase 1, peroxisomal",Ech1,,10090,MGI:1858208
52430,52430,enoyl Coenzyme A hydratase domain containing 2,Echdc2,"1300017C12Rik, 2610009M20Rik, D4Ertd765e",10090,MGI:1289238
93747,93747,"enoyl Coenzyme A hydratase, short chain, 1, mitochondrial",Echs1,"SCEH, mECH, mECH1",10090,MGI:2136460
13177,13177,enoyl-Coenzyme A delta isomerase 1,Eci1,"Dci, eci",10090,MGI:94871
74147,74147,"enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase",Ehhadh,"1300002P22Rik, HD, L-PBE, LBFP, LBP",10090,MGI:1277964
77683,77683,euchromatic histone methyltransferase 1,Ehmt1,"9230102N17Rik, D330003E03, Eu-HMTase1, GLP, GLP1",10090,MGI:1924933
110147,110147,euchromatic histone lysine N-methyltransferase 2,Ehmt2,"Bat8, D17Ertd710e, G9a, KMT1C, NG36",10090,MGI:2148922
83603,83603,ELOVL fatty acid elongase 4,Elovl4,,10090,MGI:1933331
217364,217364,endo-beta-N-acetylglucosaminidase,Engase,"C130099A03, D230014K01Rik",10090,MGI:2443788
13806,13806,"enolase 1, alpha non-neuron",Eno1,"Eno-1, MBP-1, NNE",10090,MGI:95393
13807,13807,"enolase 2, gamma neuronal",Eno2,"D6Ertd375e, Eno-2, NSE",10090,MGI:95394
13808,13808,"enolase 3, beta muscle",Eno3,"Eno-3, MSE",10090,MGI:95395
18605,18605,ectonucleotide pyrophosphatase/phosphodiesterase 1,Enpp1,"4833416E15Rik, CD203c, E-NPP 1, E-NPP1, Ly-41",10090,MGI:97370
18606,18606,ectonucleotide pyrophosphatase/phosphodiesterase 2,Enpp2,"ATX, E-NPP 2, Npps2, PD-Ialpha, Pdnp2",10090,MGI:1321390
209558,209558,ectonucleotide pyrophosphatase/phosphodiesterase 3,Enpp3,CD203c,10090,MGI:2143702
12495,12495,ectonucleoside triphosphate diphosphohydrolase 1,Entpd1,"2610206B08Rik, ATP-DPH, Cd39, E130009M23Rik, NTPDase-1",10090,MGI:102805
12496,12496,ectonucleoside triphosphate diphosphohydrolase 2,Entpd2,"Cd39l1, NTPDase2",10090,MGI:1096863
215446,215446,ectonucleoside triphosphate diphosphohydrolase 3,Entpd3,"Cd39l3, HB6, NTPDase-3",10090,MGI:1321386
67464,67464,ectonucleoside triphosphate diphosphohydrolase 4,Entpd4,"1200014F22Rik, 4930513O14Rik, A430102M06Rik, Lysal1, mKIAA0392",10090,MGI:1914714
12499,12499,ectonucleoside triphosphate diphosphohydrolase 5,Entpd5,"Cd39l4, ER-UDPase, NTPDase-5, NTPDase5, Pcph",10090,MGI:1321385
