reaction_id,flux_scd_baseline,flux_hfd_no_microbiome,flux_hfd_with_microbiome,delta_diet,delta_microbiome,delta_total,abs_diet_contribution,abs_microbiome_contribution,variance_explained_diet,variance_explained_microbiome,effect_type,interaction,opposing_effects,cohens_d_diet,cohens_d_microbiome,diet_effect_size,microbiome_effect_size,dominant_driver,pct_diet_contribution_legacy,pct_microbiome_contribution_legacy
G12MT1_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
FUT99g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
FUT98g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
FUT97g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
FUT96g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
FUT95g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
FUT94g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
FUT93g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
FUT92g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
FUT91g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
FUT911g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
FUT910g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T4g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T3g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T2g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T21g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T20g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T19g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T18g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T17g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T16g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T15g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T14g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T13g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T12g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T11g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G14T10g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G13MT_U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
G3PD1ir,14.861877188976592,10.50710927089476,10.50710927089476,-4.354767918081832,0.0,-4.354767918081832,4.354767918081832,0.0,100.0,0.0,Synergistic,Diet-dominated synergy,False,-0.29301600751430423,0.0,Medium,Small,Diet,100.0,0.0
G3M8MASNterg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Negligible,None,False,0.0,0.0,Small,Small,Stable,0.0,0.0
