ReactionID,ReactionName,Subsystem,WD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,WD_n,SCD_n,q_value,Significant,Direction
EX_for_e,Formate exchange,Extracellular exchange,0.0018357911862285834,0.0014135128784640214,0.000422278307764562,0.3771169163501755,0.769218835480704,0.446237011162928,0.14877502470042575,12,37,1.0,False,Up
DNDPt34m,DGDP transport via dTDP antiport,"Transport, Mitochondrial",0.00015628621985170002,0.00021742134788885784,-6.113512803715781e-05,-0.476302763348067,-0.7908192695720891,0.43422865539814515,-0.1485504800525199,12,37,1.0,False,Down
SUCCt4_2,Succinate transport via sodium symport,"Transport, Extracellular",-0.13734617152420944,-0.11033200897734222,-0.027014162546867226,0.3159652974070884,-0.40157460297333103,0.6931347389516848,-0.1446951366701692,12,37,1.0,False,Down
PROD2m,Proline dehydrogenase (m),Arginine and Proline Metabolism,0.8787403017061862,0.9036358226832427,-0.024895520977056496,-0.04030460253382448,-0.595387443350703,0.5550398189988065,-0.1427224860271047,12,37,1.0,False,Down
FUMm,Fumarase  mitochondrial,Citric Acid Cycle,0.17852322079107694,0.15222865615601022,0.026294564635066714,0.2298717765652819,0.5634612155133617,0.5767229608086779,0.14085724160018662,12,37,1.0,False,Up
THRASNNaEx,L-threonine/L-asparagine Na-dependent exchange (Thr-L in),"Transport, Extracellular",0.0005991683570177998,-0.0003325721826983758,0.0009317405397161756,,0.7481350864228155,0.45923849133357775,0.14053252178892667,12,37,1.0,False,Up
SRTNt6_2_r,SRTNt6 LPAREN 2 RPAREN r,"Transport, Extracellular",-0.06057020584768818,-0.047170101056255964,-0.013400104791432214,0.3607356233998304,-0.3246947139037045,0.7503681515539723,-0.13990827323616675,12,37,1.0,False,Down
XYLK,Xylulokinase,Pentose and Glucuronate Interconversions,-0.0004252355176786,0.003052522221935389,-0.003477757739613989,,-0.7386670493531967,0.4648980434547233,-0.13875400992665507,12,37,1.0,False,Down
DNDPt20m,DTDP transport via ATP antiport,"Transport, Mitochondrial",0.00013814798863173329,-5.1823694694607613e-05,0.0001899716833263409,,0.25882477370672824,0.8002949672072854,0.13812803468050355,12,37,1.0,False,Up
RDH1,Retinol dehydrogenase (all-trans),Vitamin A Metabolism,0.015305846052930899,0.018654162175555263,-0.0033483161226243643,-0.28541476923910136,-0.5088433162259512,0.6147988418966228,-0.13798444438251486,12,37,1.0,False,Down
