ReactionID,ReactionName,Subsystem,HFD_mean,KD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,HFD_n,KD_n,q_value,Significant,Direction,Rank,Rank_normalized,RankProduct,RP_pvalue
ARACHCRNt,Transport into the mitochondria (carnitine),Carnitine shuttle,3.543035035811316e-05,-0.00021063461916324998,0.00024606496952136314,,2.95847971034401,0.00912154957626783,1.0712824659677007,38,12,0.3365038982294449,False,Up,95.0,0.02549651100375738,0.02549651100375738,0.00912154957626783
H2Oter,H2O endoplasmic reticulum transport,"Transport, Endoplasmic Reticular",-0.016748127714893722,0.009523325779786816,-0.02627145349468054,,-1.8821768567328043,0.08577698937715926,-1.0656327300583204,38,12,1.0,False,Down,266.0,0.07139023081052066,0.07139023081052066,0.08577698937715926
ARTPLM1,R group to palmitate conversion,R Group Synthesis,1.4699345469606766,1.281404316290671,0.18853023067000563,0.19802616114858082,2.9576392256368274,0.008919898358242084,1.0474015795036329,38,12,0.3365038982294449,False,Up,81.0,0.021739130434782608,0.021739130434782608,0.008919898358242084
GLNLASEer,"Gluconolactonase, endoplasmic reticulum",Ascorbate and Aldarate Metabolism,0.003953293159291907,-0.021706943971853503,0.02566023713114541,,1.8363189137612916,0.09268439054082903,1.037526637413512,38,12,1.0,False,Up,291.0,0.07809983896940419,0.07809983896940419,0.09268439054082903
GULLACter,Gulonolactone endoplasmic reticular transport,"Transport, Endoplasmic Reticular",-0.003953293159291907,0.021706943971853503,-0.02566023713114541,,-1.8363189137612916,0.09268439054082903,-1.037526637413512,38,12,1.0,False,Down,291.0,0.07809983896940419,0.07809983896940419,0.09268439054082903
EX_dad_2_e,Deoxyadenosine exchange,Extracellular exchange,0.0011078492059403181,-0.005224410532728458,0.006332259738668776,,3.005875730943033,0.007746423571699736,1.0300603525339258,38,12,0.3365038982294449,False,Up,75.0,0.020128824476650563,0.020128824476650563,0.007746423571699736
R03184_PLUS_R00647,R03184 PLUS R00647,,0.003811977362711318,-0.021703225135101385,0.0255152024978127,,1.8255220540417332,0.09436522711729223,1.0294557226703198,38,12,1.0,False,Up,297.0,0.07971014492753623,0.07971014492753623,0.09436522711729223
DGULND,Dehydro-L-gulonate decarboxylase,Pentose and Glucuronate Interconversions,-0.003811977362711318,0.021703225135101385,-0.0255152024978127,,-1.8255220540417332,0.09436522711729223,-1.0294557226703198,38,12,1.0,False,Down,297.0,0.07971014492753623,0.07971014492753623,0.09436522711729223
GULN3D,L-gulonate 3-dehydrogenase,Pentose and Glucuronate Interconversions,-0.003811977362711318,0.021703225135101385,-0.0255152024978127,,-1.8255220540417332,0.09436522711729223,-1.0294557226703198,38,12,1.0,False,Down,297.0,0.07971014492753623,0.07971014492753623,0.09436522711729223
GULNter,L-gulonate endoplasmic reticular export,"Transport, Endoplasmic Reticular",-0.003811977362711318,0.021703225135101385,-0.0255152024978127,,-1.8255220540417332,0.09436522711729223,-1.0294557226703198,38,12,1.0,False,Down,297.0,0.07971014492753623,0.07971014492753623,0.09436522711729223
HIStN1,"Histidine transport (Na, H coupled)","Transport, Extracellular",-0.04386733722140571,-0.019395330202228913,-0.0244720070191768,1.1774378028301864,-2.9249025875416534,0.009322903132668706,-1.0122850597057365,38,12,0.34056016737572153,False,Down,102.0,0.027375201288244767,0.027375201288244767,0.009322903132668706
ASPTAm,Aspartate transaminase,Alanine and Aspartate Metabolism,0.07770573964947966,-0.046955556246625785,0.12466129589610545,,3.443128066241871,0.002211960615095496,1.0113684977668214,38,12,0.196232505996329,False,Up,42.0,0.011272141706924315,0.011272141706924315,0.002211960615095496
ASPGLUm,Aspartate-glutamate mitochondrial shuttle,"Transport, Mitochondrial",-0.07813537908086954,0.046220165763778104,-0.12435554484464764,,-3.4175277971963287,0.0023779043000960644,-1.008736665703393,38,12,0.20604817260832411,False,Down,43.0,0.011540526033279656,0.011540526033279656,0.0023779043000960644
MDH,Malate dehydrogenase,Citric Acid Cycle,0.09748761106941986,-0.05341812093239737,0.15090573200181723,,3.9012006194815823,0.0004291320131552193,0.9735382793097322,38,12,0.06395783524065388,False,Up,25.0,0.0067096081588835215,0.0067096081588835215,0.0004291320131552193
THRCYSNaEx,L-cysteine/L-threonine Na-dependent exchange (Thr-L in),"Transport, Extracellular",4.220170611110501e-05,-0.008663807134456166,0.008706008840567271,,2.5748881310536444,0.02067011697139774,0.9655386565070432,38,12,0.5402856934136505,False,Up,141.0,0.03784219001610306,0.03784219001610306,0.02067011697139774
UMPK5,UMP kinase (dATP),Nucleotides,-0.0004244368335608631,0.002177436117283417,-0.00260187295084428,,-2.59763382580279,0.019453326003894288,-0.9540767685998923,38,12,0.5252398021051458,False,Down,138.0,0.037037037037037035,0.037037037037037035,0.019453326003894288
THRSERNaEx,L-serine/L-threonine Na-dependent exchange (Thr-L in),"Transport, Extracellular",-0.027434542886151488,-0.0030040517988804585,-0.02443049108727103,3.191011986038895,-5.036344707921486,1.0234310552283273e-05,-0.9518452232029181,38,12,0.005802789642045519,True,Down,6.0,0.001610305958132045,0.001610305958132045,1.0234310552283273e-05
CYTK8,"Cytidylate kinase (CMP,dATP)",Nucleotides,-0.00013072784549394997,-0.0028905142343342333,0.0027597863888402835,-4.466688852467856,2.6928305683086764,0.015482414212646744,0.9491207089627202,38,12,0.4506834012212638,False,Up,128.0,0.03435319377348363,0.03435319377348363,0.015482414212646744
PROSTGE2t,Prostaglandin transport via bicarbonate countertransport,"Transport, Extracellular",-0.036503551357359214,-0.18135994648223777,0.14485639512487855,-2.3127471407785496,1.5538074392492964,0.14839538311128722,0.9276180944910768,38,12,1.0,False,Up,355.0,0.09527643585614601,0.09527643585614601,0.14839538311128722
PROSTGE2t2,Prostaglandin uniport,"Transport, Extracellular",0.036503551357359214,0.18135994648223777,-0.14485639512487855,-2.3127471344651145,-1.5538074392492964,0.14839538311128722,-0.9276180944910768,38,12,1.0,False,Down,355.0,0.09527643585614601,0.09527643585614601,0.14839538311128722
ALAGLYexR,L-alanine/glycine reversible exchange,"Transport, Extracellular",0.11429681076021984,-0.017662925040408405,0.13195973580062825,,1.7014490779589087,0.11564266855254252,0.9270430309848464,38,12,1.0,False,Up,326.0,0.08749329039184112,0.08749329039184112,0.11564266855254252
CTPS1,CTP synthase  NH3 ,Nucleotides,0.004185865516891425,0.0033792098100297835,0.0008066557068616416,0.3088400252978381,3.682984467161313,0.0008112500103368642,0.9263675140832308,38,12,0.10795419780411272,False,Up,28.0,0.007514761137949544,0.007514761137949544,0.0008112500103368642
H2CO3D2m,"Carboxylic acid dissociation, mitochondrial",Miscellaneous,0.01588533669846504,-0.02215594247343408,0.03804127917189912,,1.5454802175837474,0.15017435571314394,0.9066698603098113,38,12,1.0,False,Up,361.0,0.09688674181427805,0.09688674181427805,0.15017435571314394
H2CO3Dm,Carboxylic acid dissociation,Miscellaneous,-0.01588533669846504,0.02215594247343408,-0.03804127917189912,,-1.5454802175837474,0.15017435571314394,-0.9066698603098113,38,12,1.0,False,Down,361.0,0.09688674181427805,0.09688674181427805,0.15017435571314394
ME2m,Malic enzyme  NADP   mitochondrial,Pyruvate Metabolism,-0.00010131132113211242,-0.00188605528601625,0.0017847439648841375,-4.218506010321085,2.4195084633979627,0.02807238519520036,0.9012086210989577,38,12,0.6301066701043165,False,Up,166.0,0.04455179817498658,0.04455179817498658,0.02807238519520036
FUMSO3tm,"Fumarate:sulfite antiport, mitochondrial","Transport, Mitochondrial",-0.018735319291597052,0.012505750412429665,-0.031241069704026715,,-1.6810047071100116,0.11935780168167556,-0.898474363606896,38,12,1.0,False,Down,336.0,0.09017713365539452,0.09017713365539452,0.11935780168167556
SRTNt6_2_r,SRTNt6 LPAREN 2 RPAREN r,"Transport, Extracellular",0.00578562106495453,-0.016827467786550365,0.022613088851504894,,1.6832086761167617,0.11878273215212543,0.8908690562445424,38,12,1.0,False,Up,335.0,0.08990874932903918,0.08990874932903918,0.11878273215212543
CTPS2,CTP synthase (glutamine),Pyrimidine Biosynthesis,-0.0006240608707715715,1.1249763950941671e-05,-0.0006353106347225131,,-4.002154736414093,0.00023131958127841772,-0.8868433195865505,38,12,0.049659002874481335,True,Down,11.0,0.0029522275899087494,0.0029522275899087494,0.00023131958127841772
XYLUR,Xylulose reductase,Pentose and Glucuronate Interconversions,-0.0074164493643190605,0.006008605977248967,-0.013425055341568027,,-1.8271173799814138,0.0919424334132166,-0.8860280523029622,38,12,1.0,False,Down,289.0,0.0775630703166935,0.0775630703166935,0.0919424334132166
3HCO3_NAt,Bicarbonate transport (Na/HCO3 1:3 cotransport),"Transport, Extracellular",-0.004039436534519797,0.0251678797241587,-0.029207316258678496,,-1.4711620999086532,0.16924748837411038,-0.8855906083445326,38,12,1.0,False,Down,457.0,0.12265163714439077,0.12265163714439077,0.16924748837411038
EX_ura_e,Uracil exchange,Extracellular exchange,-0.016075285582029548,0.010656346027627118,-0.026731631609656664,,-2.0166154255271636,0.06432590488879815,-0.881854452124594,38,12,1.0,False,Down,230.0,0.06172839506172839,0.06172839506172839,0.06432590488879815
