ReactionID,ReactionName,Subsystem,KD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,KD_n,SCD_n,q_value,Significant,Direction,Rank,Rank_normalized,RankProduct,RP_pvalue
FADtru,"FAD transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",0.0011075911493947084,0.0013023091682145078,-0.00019471801881979943,-0.2336465350213028,-4.7841938984306935,0.00015422783835342252,-1.6428243525691515,12,37,0.006246227453417287,True,Down,72.0,0.01932367149758454,0.01932367149758454,0.00015422783835342252
CHSTEROLt3,Cholesterol intracellular transport,"Transport, Mitochondrial",-0.0011075911493947084,-0.0013023091682145078,0.00019471801881979943,-0.2336465739721674,4.7841938984306935,0.00015422783835342252,1.6428243525691515,12,37,0.006246227453417287,True,Up,72.0,0.01932367149758454,0.01932367149758454,0.00015422783835342252
CHSTEROLt2,Cholesterol intracellular transport,"Transport, Mitochondrial",0.0011075911493947084,0.0013023091682145078,-0.00019471801881979943,-0.2336465350213028,-4.7841938984306935,0.00015422783835342252,-1.6428243525691515,12,37,0.006246227453417287,True,Down,72.0,0.01932367149758454,0.01932367149758454,0.00015422783835342252
IPDDIx,Isopentenyl-diphosphate D-isomerase,Cholesterol Metabolism,0.0022151822987895252,0.002604618336429139,-0.0003894360376396136,-0.23364654475901536,-4.78419389843153,0.0001542278383530314,-1.6428243525691408,12,37,0.006246227453417287,True,Down,45.0,0.012077294685990338,0.012077294685990338,0.0001542278383530314
GRTTx,Geranyltranstransferase,Cholesterol Metabolism,0.0022151822987895252,0.002604618336429139,-0.0003894360376396136,-0.23364654475901536,-4.78419389843153,0.0001542278383530314,-1.6428243525691408,12,37,0.006246227453417287,True,Down,45.0,0.012077294685990338,0.012077294685990338,0.0001542278383530314
FRDPtr,"Lipid, flip-flop intracellular transport","Transport, Peroxisomal",0.0022151822987895252,0.002604618336429139,-0.0003894360376396136,-0.23364654475901536,-4.78419389843153,0.0001542278383530314,-1.6428243525691408,12,37,0.006246227453417287,True,Down,45.0,0.012077294685990338,0.012077294685990338,0.0001542278383530314
PPItr,"Diphosphate transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",-0.0022151822987895252,-0.002604618336429139,0.0003894360376396136,-0.23364656423444766,4.78419389843153,0.0001542278383530314,1.6428243525691408,12,37,0.006246227453417287,True,Up,45.0,0.012077294685990338,0.012077294685990338,0.0001542278383530314
CO2ter,CO2 endoplasmic reticular transport via diffusion,"Transport, Endoplasmic Reticular",-0.0022151822987895252,-0.002604618336429139,0.0003894360376396136,-0.23364656423444766,4.78419389843153,0.0001542278383530314,1.6428243525691408,12,37,0.006246227453417287,True,Up,45.0,0.012077294685990338,0.012077294685990338,0.0001542278383530314
DMATTx,Dimethylallyltranstransferase,Cholesterol Metabolism,0.0022151822987895252,0.002604618336429139,-0.0003894360376396136,-0.23364654475901536,-4.78419389843153,0.0001542278383530314,-1.6428243525691408,12,37,0.006246227453417287,True,Down,45.0,0.012077294685990338,0.012077294685990338,0.0001542278383530314
GPAM_hs,Glycerol-3-phosphate acyltransferase,Triacylglycerol Synthesis,0.00707627678780005,0.008320308574704349,-0.0012440317869042983,-0.23364655144839325,-4.784193898431505,0.00015422783835303004,-1.6428243525691069,12,37,0.006246227453417287,True,Down,43.0,0.011540526033279656,0.011540526033279656,0.00015422783835303004
AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,Triacylglycerol Synthesis,0.00707627678780005,0.008320308574704349,-0.0012440317869042983,-0.23364655144839325,-4.784193898431505,0.00015422783835303004,-1.6428243525691069,12,37,0.006246227453417287,True,Down,43.0,0.011540526033279656,0.011540526033279656,0.00015422783835303004
PPAP,Phosphatidic acid phosphatase,Triacylglycerol Synthesis,0.006030218480038276,0.00709034991583497,-0.0010601314357966936,-0.23364655091960004,-4.784193898431408,0.00015422783835306798,-1.6428243525690875,12,37,0.006246227453417287,True,Down,59.0,0.01583467525496511,0.01583467525496511,0.00015422783835306798
NADPHtxu,"NADPH transport, glyoxysome","Transport, Peroxisomal",0.013291093792737525,0.01562771001857516,-0.002336616225837633,-0.2336465528737681,-4.784193898431438,0.00015422783835305234,-1.6428243525690838,12,37,0.006246227453417287,True,Down,53.0,0.014224369296833066,0.014224369296833066,0.00015422783835305234
NADPtxu,"NADP transport, glyoxysome","Transport, Peroxisomal",0.013291093792737525,0.01562771001857516,-0.002336616225837633,-0.2336465528737681,-4.784193898431437,0.00015422783835305264,-1.6428243525690824,12,37,0.006246227453417287,True,Down,54.0,0.014492753623188406,0.014492753623188406,0.00015422783835305264
EX_asn__L_e,L-Asparagine exchange,Extracellular exchange,-0.01772761167448005,-0.020844181742368108,0.003116570067888059,-0.23364655571351162,4.784193898431459,0.00015422783835304142,1.6428243525690802,12,37,0.006246227453417287,True,Up,51.0,0.013687600644122383,0.013687600644122383,0.00015422783835304142
BIOMASS_mm_1_no_glygln,Biomass mm 1 no glygln,Biomass and maintenance functions,0.061532841633044434,0.07235050934525572,-0.010817667712211286,-0.23364655414616198,-4.784193898431512,0.00015422783835301684,-1.6428243525690798,12,37,0.006246227453417287,True,Down,38.0,0.010198604401502952,0.010198604401502952,0.00015422783835301684
