ReactionID,ReactionName,Subsystem,KD_mean,WD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,KD_n,WD_n,q_value,Significant,Direction
G3PD2m,"Glycerol-3-phosphate dehydrogenase (FAD), mitochondrial",Glycolysis/Gluconeogenesis,0.004513449392700201,0.023891844387548,-0.019378394994847798,-2.404215868131893,-12.466816017585982,7.850656749399019e-08,-5.089556326706982,12,12,4.717991459396894e-06,True,Down
CTPS1,CTP synthase  NH3 ,Nucleotides,0.0033792098100297835,0.005317847011299041,-0.0019386372012692578,-0.6541563294170759,-12.374112653083479,7.347627251529142e-08,-5.051710336628587,12,12,4.488075268720916e-06,True,Down
HEX7,Hexokinase (D-fructose:ATP),Fructose and Mannose Metabolism,0.06655100030085394,-0.21612999348725023,0.2826809937881042,,10.24317093445787,5.812029316096534e-07,4.181757022921556,12,12,3.331634035657798e-05,True,Up
CYTK7,"Cytidylate kinase (CMP,UTP)",Nucleotides,-0.003198598079323217,-0.015468949939881543,0.012270351860558327,-2.273863676423756,10.121288746608018,1.1489089101362163e-07,4.131998828093858,12,12,6.794975554234194e-06,True,Up
ALAGLNexR,L-alanine/glutamine reversible exchange,"Transport, Extracellular",-0.005381185718040734,0.022990885503681547,-0.02837207122172228,,-10.08510165858878,1.6162632300491588e-09,-4.117225511273138,12,12,1.204439359032633e-07,True,Down
THMDt5,Thymidine transport (1:2 Na/Thymd cotransport),"Transport, Extracellular",3.865678066742128e-05,-0.0005521515519834999,0.0005908083326509212,,10.075636556028352,6.856414336038668e-07,4.113361399333779,12,12,3.870757547890921e-05,True,Up
CYTK9,"Cytidylate kinase (CMP,dCTP)",Nucleotides,-0.004024340703845241,-0.017852251775128346,0.013827911071283106,-2.1492817312095758,9.892667572223559,3.8863436764173715e-09,4.038664624487562,12,12,2.6373305977657307e-07,True,Up
P5CDm,1 pyrroline 5 carboxylate dehydrogenase  mitochondrial,Glutamate metabolism,0.00049614646014975,-0.011481302134215459,0.011977448594365208,,9.702639078861434,7.194400435697417e-07,3.9610858169330507,12,12,4.0009456751356087e-05,True,Up
FATP3t,Fatty acid electroneutral transport,"Transport, Extracellular",-0.0035409163377598334,-0.0154293001318547,0.011888383794094867,-2.123477992320922,9.411080235729056,1.3512327975037677e-06,3.8420574176546363,12,12,7.296657106520346e-05,True,Up
FRUt4,D-fructose transport  via sodium cotransport,"Transport, Extracellular",0.040672327480721686,-0.198275709326846,0.23894803680756768,,9.129661846648103,1.8219964891299265e-06,3.727168841407243,12,12,9.173998538510955e-05,True,Up
EX_fru_e,D-Fructose exchange,Extracellular exchange,-0.040672327480721686,0.198275709326846,-0.23894803680756768,,-9.129661846648103,1.8219964891299265e-06,-3.727168841407243,12,12,9.173998538510955e-05,True,Down
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,0.6579440679816808,0.8952817371086385,-0.23733766912695764,-0.4443768116754943,-8.996097778247817,9.306474059915687e-07,-3.672641538815427,12,12,5.0994003451832136e-05,True,Down
SULFOX,Sulfite oxidase,Cysteine Metabolism,0.0014547660750798,-0.0061991611313134,0.0076539272063932,,8.464845741285831,3.8028725707879175e-06,3.4557588029202515,12,12,0.0001840195220617634,True,Up
EX_so4_e,Sulfate exchange,Extracellular exchange,0.0014547660750798,-0.0061991611313134,0.0076539272063932,,8.464845741285831,3.8028725707879175e-06,3.4557588029202515,12,12,0.0001840195220617634,True,Up
DCMPDA,DCMP deaminase,Pyrimidine Catabolism,-0.0007949693010090167,-0.0016512615132656505,0.0008562922122566337,-1.054597660026289,7.634825983345861,1.385265682538014e-07,3.1169046556900297,12,12,8.064843645526e-06,True,Up
ALAt4,Alanine-Sodium symporter,"Transport, Extracellular",0.005127507621210334,-0.0088228216931205,0.013950329314330833,,7.626240025266404,1.026456924086918e-05,3.113399452982097,12,12,0.00048412386065162737,True,Up
ACACT1r_copy1,Acetyl-CoA C-acetyltransferase,Cholesterol Metabolism,0.004289286653889941,-0.042623379612398905,0.046912666266288844,,7.598301207987767,1.06239826281443e-05,3.101993478590511,12,12,0.0004948119909058208,True,Up
FACOAL160,Fatty acid  CoA ligase  hexadecanoate ,Fatty acid activation,0.00609270902295875,0.0224154355364983,-0.01632272651353955,-1.879336767736393,-7.509561725474545,1.185823017350567e-05,-3.06576573655784,12,12,0.0005454785879812608,True,Down
CITtam,Citrate transport  mitochondrial,"Transport, Mitochondrial",-0.0734690614808186,-0.26209296800398907,0.18862390652317046,-1.8348698974930764,7.0086415778158555,3.4072465947820803e-06,2.861265942617274,12,12,0.00016927201082877374,True,Up
NDPK7m,"ATP:dCDP phosphotransferase, mitochondria",Nucleotides,0.00018579416884192498,0.0009684098973570752,-0.0007826157285151502,-2.381911973154898,-6.5777169301093545,1.5628876348589403e-06,-2.6853416918723525,12,12,8.201858207724524e-05,True,Down
DM_dctp_m,DCTP demand,Intracellular demand,0.00018579416884192498,0.0009684098973570752,-0.0007826157285151502,-2.381911973154898,-6.5777169301093545,1.5628876348589403e-06,-2.6853416918723525,12,12,8.201858207724524e-05,True,Down
PGI,Glucose-6-phosphate isomerase,Glycolysis/Gluconeogenesis,-0.09788222065860837,0.19224429866661516,-0.29012651932522354,,-6.472609132618473,1.6431196894401324e-06,-2.642431613232278,12,12,8.503144392852687e-05,True,Down
