ReactionID,ReactionName,Subsystem,HFD_mean,SCD_mean,MeanDiff,log2FC,t_statistic,p_value,Cohen_d,HFD_n,SCD_n,q_value,Significant,Direction,Rank,Rank_normalized,RankProduct,RP_pvalue
ACACT1m,Acetyl CoA C acetyltransferase  mitochondrial,Tryptophan metabolism,0.47759314801063796,0.5785279245357875,-0.10093477652514954,-0.27660445881397827,-2.5082952469570756,0.014366566847705518,-0.5785134322402835,38,37,0.32246884382259494,False,Down,166.0,0.04455179817498658,0.04455179817498658,0.014366566847705518
DHPR,"6,7-dihydropteridine reductase",Tetrahydrobiopterin,0.062316216000730486,-0.04767913000265482,0.10999534600338531,,2.5126415357492546,0.014350448218571992,0.5780558824111232,38,37,0.32246884382259494,False,Up,165.0,0.04428341384863124,0.04428341384863124,0.014350448218571992
RETNt,Retinoic acid transport,"Transport, Extracellular",0.005627273314037968,-0.005671607969417414,0.011298881283455381,,2.5096524466809367,0.015222858614704708,0.5745458943683732,38,37,0.3356234982153239,False,Up,168.0,0.04508856682769726,0.04508856682769726,0.015222858614704708
EX_retn_e,Retinoate exchange,Extracellular exchange,0.005627273314037968,-0.005671607969417414,0.011298881283455381,,2.5096524466809367,0.015222858614704708,0.5745458943683732,38,37,0.3356234982153239,False,Up,168.0,0.04508856682769726,0.04508856682769726,0.015222858614704708
OCDCAt,Octadecanoate  n C180  transport in via uniport,"Transport, Extracellular",0.06553409816307453,0.18412277398742924,-0.11858867582435471,-1.490350423677196,-2.4702869084356314,0.016116201890026487,-0.5729717983616677,38,37,0.3532292249543452,False,Down,170.0,0.045625335480407946,0.045625335480407946,0.016116201890026487
CRNCARtp,Carnitine acetylcarnitine carrier  peroxisomal,"Transport, Peroxisomal",0.8796642522681438,0.930290102711038,-0.05062585044289414,-0.08072769291955764,-2.4434431893612802,0.01760529819442851,-0.5680278873391172,38,37,0.37484194898537504,False,Down,174.0,0.04669887278582931,0.04669887278582931,0.01760529819442851
CSNATp,Carnitine O acetyltransferase  reverse direction  peroxisomal,Fatty Acid Metabolism,0.8796642522681438,0.930290102711038,-0.05062585044289414,-0.08072769291955764,-2.4434431893612802,0.01760529819442851,-0.5680278873391172,38,37,0.37484194898537504,False,Down,174.0,0.04669887278582931,0.04669887278582931,0.01760529819442851
EX_o2_e,O2 exchange,Extracellular exchange,-6.156167905061967,-6.811213288512693,0.6550453834507266,-0.1458792292257526,2.4545765425750425,0.016496838231353398,0.5671330882778093,38,37,0.359457422514753,False,Up,171.0,0.04589371980676329,0.04589371980676329,0.016496838231353398
PHETHPTOX2,"L-Phenylalanine,tetrahydrobiopterin:oxygen oxidoreductase (4-hydroxylating)","Tyr, Phe, Trp Biosynthesis",0.0904846030738108,-0.015020393670992085,0.10550499674480289,,2.452881838047393,0.01681545331509765,0.563868142658649,38,37,0.36426964565147585,False,Up,172.0,0.04616210413311862,0.04616210413311862,0.01681545331509765
O2tm,O2 transport  diffusion ,"Transport, Mitochondrial",0.8806962007700949,1.0854050905759662,-0.20470888980587132,-0.3015172326708485,-2.4402561450303075,0.01717590796347863,-0.5621152591315942,38,37,0.3699273587972334,False,Down,173.0,0.046430488459473965,0.046430488459473965,0.01717590796347863
