Subsystem,N_reactions,N_significant,Frac_significant,N_positive,N_negative,Sign_consistency,p_sign,Mean_Cohen_d,Median_Cohen_d,Mean_abs_Cohen_d,q_sign,Sign_consistent
Urea cycle/amino group metabolism,25,0,0.0,3,8,0.7272727272727273,0.11328125,-0.10636283778836216,0.0,0.25117496224068037,0.7703125,False
Tyrosine metabolism,45,3,0.06666666666666667,12,11,0.5217391304347826,0.5,0.041296231655808424,0.0,0.24155378032958943,0.8793103448275862,False
Glutamate metabolism,10,0,0.0,3,2,0.6,0.5,-0.024438225491976794,0.0,0.2254560925663242,0.8793103448275862,False
"Transport, Mitochondrial",190,8,0.042105263157894736,41,41,0.5,0.5439216962236989,0.01238796435755874,0.0,0.22455817466288752,0.940339203640971,False
Fatty acid elongation,25,1,0.04,5,4,0.5555555555555556,0.5,-0.025037911446038,0.0,0.22134456560958557,0.8793103448275862,False
Fatty acid activation,37,2,0.05405405405405406,6,6,0.5,0.61279296875,0.022660366535192107,0.0,0.21862567639535202,1.0,False
Fructose and Mannose Metabolism,16,3,0.1875,0,8,1.0,0.00390625,-0.21817146390965267,-0.0587592862961717,0.21817146390965267,0.1814552890136838,False
Arginine and Proline Metabolism,33,2,0.06060606060606061,3,5,0.625,0.36328125,-0.12430160254077578,0.0,0.21722611554356278,0.8793103448275862,False
Pentose Phosphate Pathway,18,0,0.0,4,9,0.6923076923076923,0.1334228515625,-0.041373508943230074,-0.05960898017437184,0.21129307445721143,0.800537109375,False
Pentose and Glucuronate Interconversions,12,0,0.0,4,3,0.5714285714285714,0.5,0.08600181270531027,0.0,0.21106038360414245,0.8793103448275862,False
Ascorbate and Aldarate Metabolism,13,0,0.0,2,4,0.6666666666666666,0.34375,0.006350474675113951,0.0,0.2079476417757356,0.8793103448275862,False
Pyruvate Metabolism,27,2,0.07407407407407407,5,6,0.5454545454545454,0.5,0.12950727970780024,0.0,0.20419786755947011,0.8793103448275862,False
"Transport, Extracellular",516,18,0.03488372093023256,116,119,0.5063829787234042,0.44811712859536057,-0.004195975970772127,0.0,0.20018260702156088,0.8793103448275862,False
"Glycine, Serine, and Threonine Metabolism",30,0,0.0,13,1,0.9285714285714286,0.00091552734375,0.19002021583340276,0.0,0.19728834132638057,0.0933837890625,False
