subsystem,n_reactions,n_significant,expected,enrichment_ratio,p_value,diet_dominated_pct,microbiome_dominated_pct,synergistic_pct,mean_diet_variance,mean_microbiome_variance,p_adjusted,significant
Folate Metabolism,50,6,5.273752012882448,1.1377099236641222,0.4347259604692504,100.0,0.0,100.0,100.0,0.0,0.7200148720271959,False
Steroid Metabolism,42,5,4.429951690821256,1.128680479825518,0.45944720428101055,100.0,0.0,100.0,100.0,0.0,0.7253599036013255,False
"Transport, Extracellular",516,59,54.42512077294686,1.0840582282975324,0.2617365292605342,100.0,0.0,100.0,100.0,0.0,0.6044947221309264,False
"Fatty acid oxidation, peroxisome",19,2,2.00402576489533,0.9979911611088791,0.610852560323034,100.0,0.0,100.0,100.0,0.0,0.8750050188411028,False
Purine Catabolism,10,1,1.0547504025764896,0.9480916030534351,0.6724292944662411,100.0,0.0,100.0,100.0,0.0,0.8909688151677694,False
Glutamate metabolism,10,1,1.0547504025764896,0.9480916030534351,0.6724292944662411,100.0,0.0,100.0,100.0,0.0,0.8909688151677694,False
Heme Biosynthesis,10,1,1.0547504025764896,0.9480916030534351,0.6724292944662411,100.0,0.0,100.0,100.0,0.0,0.8909688151677694,False
Nucleotides,164,15,17.29790660225443,0.8671569540122882,0.7619334308734759,100.0,0.0,100.0,100.0,0.0,0.8973882630287604,False
beta-Alanine metabolism,11,1,1.1602254428341385,0.8619014573213046,0.707072805573552,100.0,0.0,100.0,100.0,0.0,0.8973882630287604,False
Aminosugar Metabolism,24,2,2.531400966183575,0.7900763358778625,0.7370830843133185,100.0,0.0,100.0,100.0,0.0,0.8973882630287604,False
Miscellaneous,12,1,1.2657004830917875,0.7900763358778625,0.738060796800899,100.0,0.0,100.0,100.0,0.0,0.8973882630287604,False
Fatty acid elongation,25,2,2.636876006441224,0.758473282442748,0.7576910144236096,100.0,0.0,100.0,100.0,0.0,0.8973882630287604,False
Sphingolipid Metabolism,79,6,8.332528180354267,0.7200695719393179,0.8548413574013944,100.0,0.0,100.0,100.0,0.0,0.9565435321667564,False
Fatty acid oxidation,29,2,3.0587761674718195,0.6538562779678864,0.8267089270189268,100.0,0.0,100.0,100.0,0.0,0.9525124593913722,False
Vitamin A Metabolism,32,2,3.3752012882447664,0.5925572519083969,0.8663035763019681,100.0,0.0,100.0,100.0,0.0,0.9565435321667564,False
Urea cycle/amino group metabolism,25,1,2.636876006441224,0.379236641221374,0.9389523044561995,100.0,0.0,100.0,100.0,0.0,0.998249005934171,False
Pyruvate Metabolism,27,1,2.847826086956522,0.3511450381679389,0.9512305159253995,100.0,0.0,100.0,100.0,0.0,0.998249005934171,False
Carnitine shuttle,111,4,11.707729468599034,0.3416546317309676,0.998249005934171,100.0,0.0,100.0,100.0,0.0,0.998249005934171,False
Inositol Phosphate Metabolism,64,2,6.750402576489533,0.29627862595419846,0.9934990084566061,100.0,0.0,100.0,100.0,0.0,0.998249005934171,False
Fatty Acid Metabolism,42,1,4.429951690821256,0.22573609596510358,0.9909851940410178,100.0,0.0,100.0,100.0,0.0,0.998249005934171,False
