strain,cell_type,cell_abundance,n_significant,n_total,response_rate,mean_flux_change,contribution_score,contribution_percent
AJ,Timd4+ resKC,0.03898840885142255,25,3726,0.0067096081588835215,0.10913342932152506,2.854897183135699e-05,1.9911565440791639
AJ,Hepatocytes,0.09387590652699436,11,3726,0.0029522275899087494,0.09522428657674696,2.6390748385282514e-05,1.8406306069763698
AJ,"Ly6c2+, Ccr2+ Mo",0.03176718527242298,27,3726,0.007246376811594203,0.1099271179070464,2.530489218127992e-05,1.7648972425911087
AJ,Transitioning Mo,0.011498171449823343,39,3726,0.010466988727858293,0.19717028884541538,2.372968697055161e-05,1.655034085972477
AJ,"Trem2+, Spp1+ MdM",0.014380462406248063,32,3726,0.008588298443370907,0.16499907491660792,2.0377996727033715e-05,1.4212694515916062
AJ,"Ly6c2-, Spn+ Mo",0.015682142193020516,16,3726,0.0042941492216854536,0.2329198699010652,1.5685163797609634e-05,1.0939664211045428
AJ,B cells,0.040476042893448215,14,3726,0.003757380568974772,0.09326658821015495,1.4184346202060451e-05,0.9892914508639467
AJ,MCs,0.007221223578999566,42,3726,0.011272141706924315,0.1553000513397021,1.2641215375005956e-05,0.8816653316884385
AJ,"Cd207-, Trem2+ Mo-KC",0.02026901382259964,22,3726,0.005904455179817499,0.1035783357061499,1.2395994578447665e-05,0.8645623341901172
AJ,T cells,0.03663298828488192,13,3726,0.003488996242619431,0.08942239654159931,1.1429287403083239e-05,0.7971390542973902
AJ,cAMP qHSCs,0.003967024112068431,50,3726,0.013419216317767043,0.165422819649174,8.806177056288523e-06,0.6141894418309506
AJ,DCs,0.0041839707431971735,31,3726,0.008319914117015567,0.24425048859191859,8.502427226700558e-06,0.5930043194903026
AJ,Mast cells,0.0026963367011715116,47,3726,0.01261406333870102,0.1606003915880222,5.462302284723869e-06,0.3809698998694037
AJ,Cycling,0.007934048224136863,15,3726,0.004025764895330112,0.11802598201105831,3.769822193948657e-06,0.2629273718099763
AJ,Macrophages,0.010475423045930701,11,3726,0.0029522275899087494,0.10762647432262425,3.3284383639791617e-06,0.23214292511655182
CASTEiJ,LECs,0.39949172503564123,33,3726,0.008856682769726247,0.1904801984628062,0.0006739516052813326,52.24541649184744
CASTEiJ,Cholangiocytes,0.044969937395400734,43,3726,0.011540526033279656,0.16621603208101138,8.626225333928745e-05,6.687137945691249
CASTEiJ,qHSCs,0.037903675695778835,50,3726,0.013419216317767043,0.1592416698405586,8.099630449397235e-05,6.278916215091758
CASTEiJ,Neutrophiles,0.032913903179817766,45,3726,0.012077294685990338,0.13237919552916708,5.262217421098031e-05,4.0793246678469925
CASTEiJ,aHSCs,0.02597161098369801,45,3726,0.012077294685990338,0.15956914363585847,5.005154255449695e-05,3.880046677428026
CASTEiJ,"Cx3cr1+, Ccr2+ MdM",0.05113742019463212,24,3726,0.00644122383252818,0.14338527245549534,4.7229326423693886e-05,3.661265601712261
CASTEiJ,"Cd207+, Trem2+ Mo-KC",0.022097563999256182,37,3726,0.009930220075147612,0.2021135131015729,4.4350510671613226e-05,3.4380968655713917
CASTEiJ,Timd4+ resKC,0.03898840885142255,25,3726,0.0067096081588835215,0.1306593301104647,3.4180081740470906e-05,2.649674831638471
CASTEiJ,Dendrites,0.045465815409409284,22,3726,0.005904455179817499,0.11640926411453106,3.125016814596933e-05,2.4225449385863405
CASTEiJ,"Ly6c2+, Ccr2+ Mo",0.03176718527242298,27,3726,0.007246376811594203,0.1132213501603989,2.6063214545936736e-05,2.020447000048948
CASTEiJ,B cells,0.040476042893448215,14,3726,0.003757380568974772,0.1566816915900001,2.3828762257597465e-05,1.8472299774606344
CASTEiJ,Transitioning Mo,0.011498171449823343,39,3726,0.010466988727858293,0.18118664261768944,2.1806035471875045e-05,1.6904261319899057
CASTEiJ,"Trem2+, Spp1+ MdM",0.014380462406248063,32,3726,0.008588298443370907,0.14564688345032722,1.7987929421746636e-05,1.39444265300445
CASTEiJ,"Cd207-, Trem2+ Mo-KC",0.02026901382259964,22,3726,0.005904455179817499,0.14264271355394118,1.7071121019805423e-05,1.3233707296982524
CASTEiJ,Hepatocytes,0.09387590652699436,11,3726,0.0029522275899087494,0.06144263405551132,1.7028398466194987e-05,1.3200588337260768
CASTEiJ,"Ly6c2-, Spn+ Mo",0.015682142193020516,16,3726,0.0042941492216854536,0.22561327523459043,1.519312705469424e-05,1.1777867202418877
CASTEiJ,MCs,0.007221223578999566,42,3726,0.011272141706924315,0.16722794041327424,1.3612129508307716e-05,1.055226176374539
CASTEiJ,DCs,0.0041839707431971735,31,3726,0.008319914117015567,0.24768965503187973,8.622145563989681e-06,0.6683975266383314
CASTEiJ,cAMP qHSCs,0.003967024112068431,50,3726,0.013419216317767043,0.1592416698405586,8.477127534937416e-06,0.657155580974444
CASTEiJ,T cells,0.03663298828488192,13,3726,0.003488996242619431,0.05781075766341415,7.388929282585071e-06,0.5727973414891088
CASTEiJ,Cycling,0.007934048224136863,15,3726,0.004025764895330112,0.1731447488545594,5.530349384734863e-06,0.4287183303470175
CASTEiJ,Mast cells,0.0026963367011715116,47,3726,0.01261406333870102,0.12852726029404601,4.371438578770111e-06,0.3388783815138129
CASTEiJ,Macrophages,0.010475423045930701,11,3726,0.0029522275899087494,0.06784025852412898,2.09801650119193e-06,0.16264038107867534
DBA2J,LECs,0.39949172503564123,33,3726,0.008856682769726247,0.3078526986134755,0.0010892356375891475,58.06325532254504
DBA2J,Cholangiocytes,0.044969937395400734,43,3726,0.011540526033279656,0.21078675005399106,0.0001093934189504676,5.831371831705502
DBA2J,qHSCs,0.037903675695778835,50,3726,0.013419216317767043,0.20494051025009227,0.00010424045407202009,5.556685707711585
DBA2J,Neutrophiles,0.032913903179817766,45,3726,0.012077294685990338,0.2153364767694941,8.559859839944694e-05,4.562955069226062
DBA2J,aHSCs,0.02597161098369801,45,3726,0.012077294685990338,0.20619857228300012,6.467764619236732e-05,3.4477339474869133
DBA2J,"Cd207+, Trem2+ Mo-KC",0.022097563999256182,37,3726,0.009930220075147612,0.2576566392724599,5.653854289258952e-05,3.013867466550286
DBA2J,"Cx3cr1+, Ccr2+ MdM",0.05113742019463212,24,3726,0.00644122383252818,0.16258586612429413,5.355376330889682e-05,2.8547595443810714
DBA2J,Dendrites,0.045465815409409284,22,3726,0.005904455179817499,0.15962507726404015,4.2851490753405795e-05,2.2842596796352455
DBA2J,"Ly6c2+, Ccr2+ Mo",0.03176718527242298,27,3726,0.007246376811594203,0.14935767671007674,3.438168831817147e-05,1.8327648107958345
