column,group,dataset,full_name,PC1,PC2,PC3,PC4,PC5
HFD_GSE160646_GSM4876406_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876406_HFD_1w,1.139853610586009,-5.545135194398137,2.8423232854144143,8.697316201217824,-9.23944232129569
HFD_GSE160646_GSM4876412_HFD_1w_Flux,HFD,GSE160646,HFD_GSE160646_GSM4876412_HFD_1w,1.5304855347138493,-2.7588135813482935,-3.0400551776907387,8.755171251411369,-15.633420976836627
HFD_GSE188344_HFD_1_Flux,HFD,GSE188344,HFD_GSE188344_HFD_1,-20.339870749302815,0.11039181126174284,-2.003263984379942,-0.9347840349035323,0.4438912597030044
HFD_GSE188344_HFD_2_Flux,HFD,GSE188344,HFD_GSE188344_HFD_2,-16.27018980950159,-0.28537742634740804,-2.564769818533527,-1.5409027323680273,-1.6028455786805398
HFD_GSE188344_HFD_3_Flux,HFD,GSE188344,HFD_GSE188344_HFD_3,-14.768421393177071,-0.7912552665291054,-3.208072209180665,-2.2905684221639415,-1.6647979150798966
HFD_GSE188344_HFD_4_Flux,HFD,GSE188344,HFD_GSE188344_HFD_4,-17.03440481166168,0.4079181473347979,-2.728796810957937,-2.1713441028540608,0.0696352961211262
HFD_GSE246221_Batch9_HFD_only32w_1_Flux,HFD,GSE246221,HFD_GSE246221_Batch9_HFD_only32w_1,-16.44738229712986,0.2583438295907708,-3.3575721313097033,-1.1680523633812268,0.644760085564766
HFD_GSE246221_Batch9_HFD_only32w_2_Flux,HFD,GSE246221,HFD_GSE246221_Batch9_HFD_only32w_2,-12.587956534039046,-0.9886052652381512,-3.836125858211793,-0.3642936794014129,0.1327339288070477
HFD_GSE246221_Batch9_HFD_only32w_3_Flux,HFD,GSE246221,HFD_GSE246221_Batch9_HFD_only32w_3,-15.17511528692698,-0.3132227084602158,-3.8343729626935596,-0.8247684724140216,1.3836683943702328
HFD_GSE248297_HFD_1_Flux,HFD,GSE248297,HFD_GSE248297_HFD_1,-2.4093100707382304,0.02584808021558978,-5.9703920507265,-5.237644603740137,-1.0567240931990511
HFD_GSE248297_HFD_2_Flux,HFD,GSE248297,HFD_GSE248297_HFD_2,-14.006853120875812,0.7659998587250413,-0.03049462082709616,-2.789015438531296,-0.2982182919605817
HFD_GSE248297_HFD_3_Flux,HFD,GSE248297,HFD_GSE248297_HFD_3,-18.370213149401152,1.1762526574688894,3.1906097147549257,2.3727817058931437,-1.2667436440306103
HFD_GSE248297_HFD_4_Flux,HFD,GSE248297,HFD_GSE248297_HFD_4,-3.8584402704544267,-1.1867649290177376,-3.770504581396441,0.141129777819333,-4.890448142736405
HFD_GSE248297_HFD_5_Flux,HFD,GSE248297,HFD_GSE248297_HFD_5,-8.524768617752862,-0.5873985154484979,-0.1842990963443574,-0.3688794409836652,0.2171954626761756
KD_GSE101657_KD_0_Flux,KD,GSE101657,KD_GSE101657_KD_0,-4.643521449698995,-10.709107796532951,2.618576929605385,8.657502471792505,5.104154867847578
KD_GSE101657_KD_1_Flux,KD,GSE101657,KD_GSE101657_KD_1,-3.8030368911295716,8.983529306184696,4.221166055833786,3.6300253938781557,-4.0488607183741845
KD_GSE101657_KD_2_Flux,KD,GSE101657,KD_GSE101657_KD_2,-5.794404432198666,8.983337687800043,5.9161767721102025,-0.5677096468612299,-0.406285315736594
KD_GSE101657_KD_3_Flux,KD,GSE101657,KD_GSE101657_KD_3,-5.3678770943273095,3.803421875673844,7.287767307974546,3.4211948764981157,8.325849630877647
KD_GSE101657_KD_4_Flux,KD,GSE101657,KD_GSE101657_KD_4,-2.4521444473609963,-2.754216131631683,0.6205913783140513,2.0951447725799985,5.997059984134885
KD_GSE101657_KD_5_Flux,KD,GSE101657,KD_GSE101657_KD_5,-0.5087661624711789,-2.7844430164444303,2.274137077725627,2.183027089723513,-0.5534802576854235
KD_GSE101657_KD_6_Flux,KD,GSE101657,KD_GSE101657_KD_6,-2.4581985183353052,-2.990659058028149,7.5669464114743406,-0.8755054901397258,2.1487207152057066
KD_GSE248297_KD_1_Flux,KD,GSE248297,KD_GSE248297_KD_1,-20.109977149303646,2.061995933386273,1.6940881369099023,3.5599076648754755,4.748675971714893
KD_GSE248297_KD_2_Flux,KD,GSE248297,KD_GSE248297_KD_2,-15.794904029035884,2.186415135142326,9.615183983067336,8.433464501897868,6.276982360549764
