ReactionID,ReactionName,Subsystem,GroupA,GroupB,MeanA,MeanB,Diff(A-B),TestStat,PValue,FDR_BH
B3GNT51g,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",Blood Group Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
BAAT1x,Bile acid Coenzyme A: amino acid N-acyltransferase,Bile Acid Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
BAAT2x,Bile acid Coenzyme A: amino acid N-acyltransferase,Bile Acid Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
BAAT3x,Bile acid Coenzyme A: amino acid N-acyltransferase,Bile Acid Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
BAAT4x,Bile acid Coenzyme A: amino acid N-acyltransferase,Bile Acid Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
BAAT5x,Bile acid Coenzyme A: amino acid N-acyltransferase,Bile Acid Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
BACCL,Biotin acetyl CoA carboxylase ligase,Biotin Metabolism,HFD,SCD,0.0,0.0,0.0,,,
BACCLm,"Biotin-[acetyl-CoA-carboxylase] ligase, mitochondrial",Biotin Metabolism,HFD,SCD,0.0,0.0,0.0,,,
BALAVECSEC,B-alanine secretion via secretory vesicle (ATP driven),"Transport, Extracellular",HFD,SCD,0.0,0.0,0.0,,,
BALAtmr,"Beta-alanine transport, mitochondria","Transport, Mitochondrial",HFD,SCD,0.0,0.0,0.0,,,
BAMPPALDOX,Beta-Aminopropion aldehyde NAD+ oxidoreductase,beta-Alanine metabolism,HFD,SCD,0.0,0.0,0.0,,,
BAMPPALDOXm,Beta-Aminopropion aldehyde:NAD+ oxidoreductase (m),beta-Alanine metabolism,HFD,SCD,0.0,0.0,0.0,,,
BBHOX,"4-Trimethylammoniobutanoate,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)",Lysine Metabolism,HFD,SCD,0.0,0.0,0.0,,,
BCDO,Beta-Carotene dioxygenase,Vitamin A Metabolism,HFD,SCD,0.0,0.0,0.0,,,
BDHm,"3-Hydroxybutanoate:NAD+ oxidoreductase, mitochondria",Butanoate Metabolism,HFD,SCD,-0.2836104697894236,-0.6635309956784506,0.379920525889027,,,
BDMT_L,GDPmannose:chitobiosyldiphosphodolichol beta-D-mannosyltransferase (liver),N-Glycan Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
BDMT_U,GDPmannose:chitobiosyldiphosphodolichol beta-D-mannosyltransferase (uterus),N-Glycan Biosynthesis,HFD,SCD,0.0,0.0,0.0,,,
BETALDHx,Betaine-aldehyde dehydrogenase,"Glycine, Serine, and Threonine Metabolism",HFD,SCD,0.0,0.0,0.0,,,
