ReactionID,ReactionName,Subsystem,MetaboliteID,MetaboliteName,Coefficient,Diff(HFD-SCD),Ratio(HFD/SCD)
SERGLYexR,L-Serine/Glycine reversible exchange,"Transport, Extracellular",gly_e,Glycine,1.0,-0.3688753592869245,0.0
SERGLYexR,L-Serine/Glycine reversible exchange,"Transport, Extracellular",ser__L_c,L-Serine,1.0,-0.3688753592869245,0.0
SERGLYexR,L-Serine/Glycine reversible exchange,"Transport, Extracellular",ser__L_e,L-Serine,-1.0,-0.3688753592869245,0.0
SERt4,L-serine via sodium symport,"Transport, Extracellular",na1_c,Sodium,1.0,0.5964784258604038,596478425860.4038
SERt4,L-serine via sodium symport,"Transport, Extracellular",na1_e,Sodium,-1.0,0.5964784258604038,596478425860.4038
SERt4,L-serine via sodium symport,"Transport, Extracellular",ser__L_c,L-Serine,1.0,0.5964784258604038,596478425860.4038
SERt4,L-serine via sodium symport,"Transport, Extracellular",ser__L_e,L-Serine,-1.0,0.5964784258604038,596478425860.4038
SRTNtu,Serotonin uniport,"Transport, Extracellular",srtn_c,Serotonin,1.0,0.4609600951244262,0.0
SRTNtu,Serotonin uniport,"Transport, Extracellular",srtn_e,Serotonin,-1.0,0.4609600951244262,0.0
SUCOASm,Succinate  CoA ligase  ADP forming ,Citric Acid Cycle,adp_m,ADP C10H12N5O10P2,1.0,0.2083244878460987,0.7249224046585447
SUCOASm,Succinate  CoA ligase  ADP forming ,Citric Acid Cycle,atp_m,ATP C10H12N5O13P3,-1.0,0.2083244878460987,0.7249224046585447
SUCOASm,Succinate  CoA ligase  ADP forming ,Citric Acid Cycle,coa_m,Coenzyme A,-1.0,0.2083244878460987,0.7249224046585447
SUCOASm,Succinate  CoA ligase  ADP forming ,Citric Acid Cycle,pi_m,Phosphate,1.0,0.2083244878460987,0.7249224046585447
SUCOASm,Succinate  CoA ligase  ADP forming ,Citric Acid Cycle,succ_m,Succinate,-1.0,0.2083244878460987,0.7249224046585447
SUCOASm,Succinate  CoA ligase  ADP forming ,Citric Acid Cycle,succoa_m,Succinyl-CoA,1.0,0.2083244878460987,0.7249224046585447
SUCD1m,Succinate dehydrogenase,Citric Acid Cycle,fad_m,Flavin adenine dinucleotide oxidized,-1.0,-0.2124049435713083,0.4128593264729772
SUCD1m,Succinate dehydrogenase,Citric Acid Cycle,fadh2_m,Flavin adenine dinucleotide reduced,1.0,-0.2124049435713083,0.4128593264729772
SUCD1m,Succinate dehydrogenase,Citric Acid Cycle,fum_m,Fumarate,1.0,-0.2124049435713083,0.4128593264729772
SUCD1m,Succinate dehydrogenase,Citric Acid Cycle,succ_m,Succinate,-1.0,-0.2124049435713083,0.4128593264729772
THRt4,L-threonine  via sodium symport,"Transport, Extracellular",na1_c,Sodium,1.0,0.4250899871985406,12.93159041924051
THRt4,L-threonine  via sodium symport,"Transport, Extracellular",na1_e,Sodium,-1.0,0.4250899871985406,12.93159041924051
THRt4,L-threonine  via sodium symport,"Transport, Extracellular",thr__L_c,L-Threonine,1.0,0.4250899871985406,12.93159041924051
THRt4,L-threonine  via sodium symport,"Transport, Extracellular",thr__L_e,L-Threonine,-1.0,0.4250899871985406,12.93159041924051
THBPT4ACAMDASE,Tetrahydrobiopterin-4a-carbinolamine dehydratase,Tetrahydrobiopterin,dhbpt_c,"6,7-Dihydrobiopterin",1.0,-0.35845994984511,0.0
THBPT4ACAMDASE,Tetrahydrobiopterin-4a-carbinolamine dehydratase,Tetrahydrobiopterin,h2o_c,H2O H2O,1.0,-0.35845994984511,0.0
THBPT4ACAMDASE,Tetrahydrobiopterin-4a-carbinolamine dehydratase,Tetrahydrobiopterin,thbpt4acam_c,Tetrahydrobiopterin-4a-carbinolamine,-1.0,-0.35845994984511,0.0
THRD_L,L-threonine deaminase,"Glycine, Serine, and Threonine Metabolism",2obut_c,2-Oxobutanoate,1.0,-0.3344749532565114,0.1543355745005773
THRD_L,L-threonine deaminase,"Glycine, Serine, and Threonine Metabolism",nh4_c,Ammonium,1.0,-0.3344749532565114,0.1543355745005773
THRD_L,L-threonine deaminase,"Glycine, Serine, and Threonine Metabolism",thr__L_c,L-Threonine,-1.0,-0.3344749532565114,0.1543355745005773
THRGLYexR,L-threonine/glycine reversible exchange,"Transport, Extracellular",gly_c,Glycine,-1.0,-0.3688753592869245,0.0
THRGLYexR,L-threonine/glycine reversible exchange,"Transport, Extracellular",gly_e,Glycine,1.0,-0.3688753592869245,0.0
THRGLYexR,L-threonine/glycine reversible exchange,"Transport, Extracellular",thr__L_c,L-Threonine,1.0,-0.3688753592869245,0.0
THRGLYexR,L-threonine/glycine reversible exchange,"Transport, Extracellular",thr__L_e,L-Threonine,-1.0,-0.3688753592869245,0.0
TRPHYDRO2,"L-Tryptophan,tetrahydrobiopterin:oxygen oxidoreductase (5-hydroxylating)",Tryptophan metabolism,5htrp_c,5-Hydroxy-L-tryptophan,1.0,-0.35845994984511,0.0
